variant,weight_lr,best_test_error_mean,best_test_error_std,best_test_error_min,best_test_error_max,final_test_error_mean,final_test_error_std,final_test_error_min,final_test_error_max,final_train_error_mean,final_train_error_std,final_train_error_min,final_train_error_max,final_minus_best_mean,final_minus_best_std,final_minus_best_min,final_minus_best_max,objective_mean,objective_std,objective_min,objective_max,state_delta_mean,state_delta_std,state_delta_min,state_delta_max,saturation_mean,saturation_std,saturation_min,saturation_max,weight_abs_mean_mean,weight_abs_mean_std,weight_abs_mean_min,weight_abs_mean_max,weight_update_rel_mean_mean,weight_update_rel_mean_std,weight_update_rel_mean_min,weight_update_rel_mean_max,duration_sec_mean,duration_sec_std,duration_sec_min,duration_sec_max
ep_gradual_100_0p01_plus,0.001,0.12900641025641021,0.00844203025068326,0.1201923076923077,0.1370192307692307,0.3741987179487179,0.11678668717276365,0.2884615384615384,0.5072115384615384,0.26625000000000004,0.046837484987987975,0.21375,0.30375,0.2451923076923077,0.11778846153846154,0.15144230769230768,0.37740384615384615,-21.83482134501139,13.294109571737804,-32.390623054504395,-6.90473747253418,0.08741375437523753,0.0033612101129978874,0.0841333845412979,0.0908503562087814,0.0027942439862542333,0.0010993159970138825,0.0015882731958762,0.0037403350515463,0.6505324843070572,0.061916780111549385,0.6109083383530378,0.7218822420636812,0.0033316815233867003,0.0021318272478114656,0.0016979921223408,0.0057431991120576,484.88568490681547,41.187913346879625,448.3557034372352,529.525181252975
bp_tanh,0.001,0.1362179487179487,0.019280784319737142,0.1177884615384615,0.15625,0.1522435897435897,0.014489696570532984,0.1370192307692307,0.1658653846153846,0.13729166666666667,0.0075086755378917045,0.13,0.145,0.016025641025641,0.005551444896054077,0.009615384615384609,0.019230769230769204,,,,,,,,,,,,,,,,,,,,,13.689092546856651,0.07992885888703022,13.622785778716208,13.777844328898937
ep_nudge_0p01_plus,0.001,0.1362179487179487,0.019280784319737142,0.1177884615384615,0.15625,0.15945512820512817,0.028170506139818845,0.1274038461538461,0.1802884615384615,0.14833333333333334,0.016563482675250794,0.135,0.166875,0.023237179487179464,0.013239352277130054,0.009615384615384595,0.03605769230769229,-33.78414719899495,9.156713537842156,-41.17126953125,-23.539386100769043,0.021652733083400433,0.0009839143765571587,0.0208869574591517,0.0227624484337866,0.0,0.0,0.0,0.0,0.3975400792352028,0.017498284765620997,0.3794408957163493,0.4143681436404586,0.0011532927119029,0.00020972028564972397,0.0009736375541053,0.001383746093628,307.2858070603882,65.27711521996972,269.4711624290794,382.6611845931038
ep_gradual_100_0p01_plus,0.0001,0.1426282051282051,0.02044447247143122,0.1274038461538461,0.1658653846153846,0.15865384615384612,0.012719958226272058,0.1442307692307692,0.1682692307692307,0.14541666666666667,0.01176483991957959,0.131875,0.153125,0.016025641025640996,0.013239352277130065,0.00240384615384609,0.0288461538461538,-61.184963912963866,4.541537464489446,-65.06255470275879,-56.18859107971191,0.09424339356935679,0.004905693793484493,0.0910058093381424,0.0998876506090164,0.0,0.0,0.0,0.0,0.29533379918171293,0.009191987361614496,0.2863771732151507,0.3047443297319114,0.0005564948955359667,9.868691735890455e-06,0.0005494613582319,0.0005677762048262,522.4174174157282,97.22091543494126,460.890718374867,634.4996170070954
ep_gradual_100_0p01_plus,5e-05,0.14503205128205124,0.03316378539515201,0.1201923076923077,0.1826923076923076,0.15705128205128202,0.02272026743390673,0.1394230769230769,0.1826923076923076,0.14291666666666666,0.01125578554936676,0.131875,0.154375,0.012019230769230768,0.015012014419226895,0.0,0.028846153846153813,-33.585884195963544,2.310860676502742,-35.77939273834229,-31.1732776260376,0.09414861592981545,0.005887583943963792,0.0902038929487268,0.1009160806673268,0.0,0.0,0.0,0.0,0.20929188536893983,0.009289977901324738,0.2023848883062601,0.2198533887602388,0.0003732778327932,2.2685218831419535e-05,0.0003548069411665,0.0003985986376425,521.4638037440988,99.58413779020425,461.20072404667735,636.4084995207377
ep_nudge_0p01_plus,0.0001,0.1538461538461538,0.0410769410832574,0.1153846153846153,0.1971153846153846,0.15624999999999997,0.03777940780168683,0.1225961538461538,0.1971153846153846,0.149375,0.010326694776161443,0.1425,0.16125,0.0024038461538461683,0.004163583672040596,0.0,0.007211538461538505,-10.889677429199219,0.3896304482324687,-11.241829471588137,-10.47110689163208,0.023184412565185733,0.0013780012023364165,0.0223439790075644,0.0247747322839374,0.0,0.0,0.0,0.0,0.14424770528761044,0.00409180121354024,0.1395306987160195,0.146841206283619,0.00032957207060176666,4.595329967444746e-06,0.0003244842344484,0.0003334207875009,266.5783637537,16.814852034869567,247.3029707078822,278.2368685682304
ep_nudge_0p01_plus,5e-05,0.1754807692307692,0.05369785553771322,0.1153846153846153,0.21875,0.18349358974358973,0.04039129218310436,0.1394230769230769,0.21875,0.15937500000000002,0.023889393567020495,0.131875,0.175,0.008012820512820535,0.013878612240135275,0.0,0.024038461538461606,-12.217292213439942,0.4488912572801035,-12.571303501129153,-11.712398834228516,0.023850137881106737,0.0014406718413300687,0.0229448635953788,0.025511449589394,0.0,0.0,0.0,0.0,0.10946330186548743,0.003684565443913664,0.105415395037271,0.1126216539057592,0.00033519378344906665,4.612875937872938e-06,0.0003298886556972,0.0003382590688661,252.263261895782,20.09897657627318,240.62591980723664,275.4715292910114
ep_gradual_100_0p01_plus,1e-05,0.20913461538461534,0.08596901318388298,0.1177884615384615,0.2884615384615384,0.21554487179487172,0.07723544350064684,0.1346153846153846,0.2884615384615384,0.20458333333333334,0.085723787295787,0.1325,0.299375,0.006410256410256439,0.009100814656731218,0.0,0.016826923076923114,-39.661257654825846,2.266737290261875,-41.95702735900879,-37.42471351623535,0.0973392314670814,0.006066592334456878,0.0932986300997436,0.1043152054647604,0.0,0.0,0.0,0.0,0.101971137279955,0.003546873656926696,0.0982373832399025,0.1052956230659038,0.0003356743371868,6.1680471903820054e-06,0.0003286330071155,0.0003401221264121,460.73247128073126,139.99268801186196,374.6439066999592,622.2652423921973
bp_tanh,0.0001,0.21794871794871792,0.08244643306085228,0.1610576923076923,0.3125,0.21874999999999997,0.08162464829975793,0.1634615384615384,0.3125,0.21395833333333333,0.07975630199760601,0.1425,0.3,0.0008012820512820392,0.0013878612240135024,0.0,0.0024038461538461176,,,,,,,,,,,,,,,,,,,,,15.367767394520342,0.8613092996634233,14.67877046763897,16.333406853023916
ep_nudge_0p01_plus,1e-05,0.3068910256410256,0.1730490985468851,0.1658653846153846,0.5,0.31009615384615385,0.17101131165223477,0.1682692307692307,0.5,0.30020833333333335,0.1733069140523059,0.18375,0.499375,0.0032051282051281937,0.0036719356530095105,0.0,0.007211538461538491,-9.955314003626507,1.3150284736775384,-11.39326894760132,-8.813827276229858,0.02463557888029347,0.0017802549649326516,0.0234106503302852,0.0266777180399124,0.0,0.0,0.0,0.0,0.0719307807658333,0.002220936394344341,0.0693940820618687,0.0735253635184684,0.00033823584277069995,6.489108883886458e-07,0.0003377754987106,0.0003389780185613,191.5244855003742,4.18770062475863,187.0220853658393,195.3031446649693
