objective_name,target_name,dplus_vs_bp_forward_cosine_mean,dplus_vs_bp_forward_cosine_std,dplus_vs_bp_forward_cosine_min,dplus_vs_bp_forward_cosine_max,dplus_vs_bp_forward_norm_ratio_mean,dplus_vs_bp_forward_norm_ratio_std,dplus_vs_bp_forward_norm_ratio_min,dplus_vs_bp_forward_norm_ratio_max,dplus_vs_bp_forward_sign_agreement_mean,dplus_vs_bp_forward_sign_agreement_std,dplus_vs_bp_forward_sign_agreement_min,dplus_vs_bp_forward_sign_agreement_max,dplus_vs_ep_forward_cosine_mean,dplus_vs_ep_forward_cosine_std,dplus_vs_ep_forward_cosine_min,dplus_vs_ep_forward_cosine_max,dplus_vs_ep_forward_norm_ratio_mean,dplus_vs_ep_forward_norm_ratio_std,dplus_vs_ep_forward_norm_ratio_min,dplus_vs_ep_forward_norm_ratio_max,dplus_vs_ep_forward_sign_agreement_mean,dplus_vs_ep_forward_sign_agreement_std,dplus_vs_ep_forward_sign_agreement_min,dplus_vs_ep_forward_sign_agreement_max,dplus_forward_norm_mean,dplus_forward_norm_std,dplus_forward_norm_min,dplus_forward_norm_max,bp_forward_norm_mean,bp_forward_norm_std,bp_forward_norm_min,bp_forward_norm_max,ep_forward_norm_mean,ep_forward_norm_std,ep_forward_norm_min,ep_forward_norm_max,dplus_raw_free_mse_decrease_mean,dplus_raw_free_mse_decrease_std,dplus_raw_free_mse_decrease_min,dplus_raw_free_mse_decrease_max,dplus_bp_scaled_free_mse_decrease_mean,dplus_bp_scaled_free_mse_decrease_std,dplus_bp_scaled_free_mse_decrease_min,dplus_bp_scaled_free_mse_decrease_max,dplus_ep_scaled_free_mse_decrease_mean,dplus_ep_scaled_free_mse_decrease_std,dplus_ep_scaled_free_mse_decrease_min,dplus_ep_scaled_free_mse_decrease_max,dplus_raw_feedforward_ce_decrease_mean,dplus_raw_feedforward_ce_decrease_std,dplus_raw_feedforward_ce_decrease_min,dplus_raw_feedforward_ce_decrease_max,dplus_bp_scaled_feedforward_ce_decrease_mean,dplus_bp_scaled_feedforward_ce_decrease_std,dplus_bp_scaled_feedforward_ce_decrease_min,dplus_bp_scaled_feedforward_ce_decrease_max,dplus_ep_scaled_feedforward_ce_decrease_mean,dplus_ep_scaled_feedforward_ce_decrease_std,dplus_ep_scaled_feedforward_ce_decrease_min,dplus_ep_scaled_feedforward_ce_decrease_max,dplus_raw_free_mse_decrease_positive_rate_mean,dplus_raw_free_mse_decrease_positive_rate_std,dplus_raw_free_mse_decrease_positive_rate_min,dplus_raw_free_mse_decrease_positive_rate_max,dplus_bp_scaled_free_mse_decrease_positive_rate_mean,dplus_bp_scaled_free_mse_decrease_positive_rate_std,dplus_bp_scaled_free_mse_decrease_positive_rate_min,dplus_bp_scaled_free_mse_decrease_positive_rate_max,dplus_ep_scaled_free_mse_decrease_positive_rate_mean,dplus_ep_scaled_free_mse_decrease_positive_rate_std,dplus_ep_scaled_free_mse_decrease_positive_rate_min,dplus_ep_scaled_free_mse_decrease_positive_rate_max,dplus_objective_mean,dplus_objective_std,dplus_objective_min,dplus_objective_max,dplus_state_delta_mean,dplus_state_delta_std,dplus_state_delta_min,dplus_state_delta_max,duration_sec_mean,duration_sec_std,duration_sec_min,duration_sec_max,direction_score,regularizer_pass
resnorm_layergain_beta_div1,direct_plus,0.07623631258805587,0.003814857992965627,0.0727986631294091,0.0803405232727527,7619.366782496406,4701.746058580624,4281.4122506286885,12996.437986933744,0.5684910549057854,0.02228486353674862,0.5429874360561371,0.5842075248559316,0.9974635011619991,0.00026420670786428787,0.9971780578295388,0.997699479262034,3692.28642089276,2115.725220184681,2309.35332692082,6127.861694570794,0.987894313202964,0.0022322402981274324,0.9853857656319936,0.9896617035071056,3274.3444620768228,2123.5500495469005,1809.156311035156,5709.695882161458,0.466151495774587,0.12288701621157384,0.3339143047730128,0.5768370380004247,0.863162659936481,0.07442323740568221,0.7838805119196574,0.9315191308657328,0.03210632668601137,0.07256275635094717,-0.034490168094635,0.1094390352567036,0.0004273735814623667,0.00013707861848084158,0.0002707640329996,0.0005255689223607,0.0007830527093674666,0.00014349937456807236,0.0006350974241892,0.0009216368198394,-0.007859614160325804,0.0798750060519017,-0.0994687775770823,0.0472098191579183,2.232193946838379e-05,1.2115811934163124e-05,9.000301361083984e-06,3.2683213551839195e-05,3.429916169908312e-05,1.2494178467796577e-05,2.0205974578857425e-05,4.4018030166625977e-05,0.6666666666666666,0.5773502691896258,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1827.9968838161894,1258.5959164606475,989.4878438313802,3275.2303059895835,0.18295527179294294,0.013445855534009513,0.1705050286707571,0.197213737345818,11.372672081148872,1.7454850547232295,9.472626728005707,12.905008091125636,0.5762363125880559,True
layergain_beta_div1,direct_plus,0.07613104478352596,0.0036061052631601613,0.072908770913879,0.080026193211476,0.1705307509080123,0.03466159843525627,0.1330256244272011,0.2013849884883894,0.5684910549057854,0.02228486353674856,0.5429874360561371,0.5842075248559316,0.9972550902101728,4.804647720090252e-05,0.9972240130106608,0.9973104298114776,0.08307989758119713,1.3572829764530574e-05,0.0830680564202438,0.083094709836897,0.987894313202964,0.0022322402981274744,0.9853857656319936,0.9896617035071056,0.0717108667724662,0.006174920243686109,0.0651361520091692,0.0773876768847306,0.466151495774587,0.12288701621157386,0.3339143047730128,0.5768370380004247,0.863162659936481,0.07442323740568224,0.7838805119196574,0.9315191308657328,6.510151757134333e-05,1.2017626459106427e-05,5.275507767995199e-05,7.676084836324056e-05,0.00042754577265840003,0.00013726703694353902,0.0002705802520116,0.0005250970522562,0.0007834119929207,0.0001447702988758949,0.0006346354881922,0.0009238123893737,2.8279092576768666e-06,1.0457899357046393e-06,1.6391277313232422e-06,3.606081008911133e-06,2.2275580300225152e-05,1.2073637015197384e-05,8.970499038696289e-06,3.253420193990072e-05,3.4262736638387047e-05,1.2446770659092727e-05,2.0196040471394856e-05,4.384915033976237e-05,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.04101278032693593,0.004771734884805846,0.0368176127473513,0.0462038864692052,0.18295527179294294,0.013445855534009506,0.1705050286707571,0.197213737345818,11.546466507948935,2.5787565176448752,8.568805343005806,13.046944724861532,0.576131044783526,True
resnorm_beta_div1,direct_plus,0.07602095148629606,0.003658567013707808,0.0726971024026473,0.0799410020311673,7619.196293696762,4701.804373105932,4281.283163879616,12996.348688965943,0.5684910549057854,0.0222848635367486,0.5429874360561371,0.5842075248559316,0.9971543219354418,0.00014110399817109678,0.9970101912816366,0.9972921907901764,3692.2058101419952,2115.76089457771,2309.2337251807508,6127.820667299943,0.987894313202964,0.0022322402981274497,0.9853857656319936,0.9896617035071056,3274.276828342014,2123.576718688783,1809.0625813802085,5709.65771484375,0.466151495774587,0.12288701621157387,0.3339143047730128,0.5768370380004247,0.863162659936481,0.07442323740568221,0.7838805119196574,0.9315191308657328,0.03208236893018083,0.0725883704516952,-0.0344867904980977,0.1094745645920435,0.0004265093141131,0.0001367615755594016,0.0002702424923578,0.0005243718624114,0.0007814897431267332,0.00014329024290741165,0.0006338208913803,0.0009199579556783,-0.008226318491829799,0.08038509295213057,-0.100449522336324,0.0469915270805358,2.2252400716145832e-05,1.2055226666591806e-05,8.980433146158854e-06,3.252426783243815e-05,3.419650925530328e-05,1.2425167394913845e-05,2.016623814900716e-05,4.380941390991211e-05,0.6666666666666666,0.5773502691896258,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1827.6556260850696,1258.5562157901818,989.1980387369792,3274.84619140625,0.18295527179294294,0.013445855534009512,0.1705050286707571,0.197213737345818,11.8468659875604,1.5230830972752303,10.117248486261817,12.987536289729178,0.5760209514862961,True
resnorm_beta_div2,direct_plus,0.07602095148629606,0.0036585670137078054,0.0726971024026473,0.0799410020311673,7619.196293696762,4701.804373105932,4281.283163879616,12996.348688965943,0.5684910549057854,0.02228486353674862,0.5429874360561371,0.5842075248559316,0.9971543219354418,0.0001411039981710814,0.9970101912816366,0.9972921907901764,3692.2058101419952,2115.7608945777097,2309.2337251807508,6127.820667299943,0.987894313202964,0.0022322402981274324,0.9853857656319936,0.9896617035071056,3274.276828342014,2123.576718688783,1809.0625813802085,5709.65771484375,0.466151495774587,0.12288701621157384,0.3339143047730128,0.5768370380004247,0.863162659936481,0.07442323740568221,0.7838805119196574,0.9315191308657328,0.03208236893018083,0.0725883704516952,-0.0344867904980977,0.1094745645920435,0.0004265093141131,0.00013676157555940163,0.0002702424923578,0.0005243718624114,0.0007814897431267332,0.00014329024290741165,0.0006338208913803,0.0009199579556783,-0.0082263184918298,0.08038509295213057,-0.100449522336324,0.0469915270805358,2.2252400716145832e-05,1.2055226666591808e-05,8.980433146158854e-06,3.252426783243815e-05,3.419650925530328e-05,1.2425167394913844e-05,2.016623814900716e-05,4.380941390991211e-05,0.6666666666666666,0.5773502691896258,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1827.6556260850696,1258.5562157901818,989.1980387369792,3274.84619140625,0.18295527179294294,0.013445855534009513,0.1705050286707571,0.197213737345818,12.907716952264309,0.09392848593065246,12.84472550591454,13.015675860922784,0.5760209514862961,True
beta_div1,direct_plus,0.07597568382819493,0.003563306012776925,0.0727520864456892,0.0798018593341112,0.17052932982468116,0.03466132034361667,0.1330245167789714,0.2013833427189061,0.5684910549057854,0.02228486353674857,0.5429874360561371,0.5842075248559316,0.9970690409342448,5.12135555840977e-05,0.997035930554072,0.9971280296643577,0.08307920428665233,1.3580199380738162e-05,0.0830673661096568,0.0830940292714715,0.987894313202964,0.002232240298127392,0.9853857656319936,0.9896617035071056,0.0717102674146493,0.00617485696649788,0.0651356180508931,0.0773870162665844,0.466151495774587,0.12288701621157383,0.3339143047730128,0.5768370380004247,0.863162659936481,0.07442323740568221,0.7838805119196574,0.9315191308657328,6.497568554348416e-05,1.1959258864187229e-05,5.2675604820251465e-05,7.656216621398926e-05,0.0004267228974235667,0.0001369149354309847,0.0002702077229817,0.0005242923895517,0.0007819020085864333,0.00014398349163718174,0.0006337662537892,0.0009213387966156,2.8345319959852436e-06,1.0438536504160553e-06,1.6490618387858074e-06,3.6160151163736978e-06,2.222922113206652e-05,1.2045023708678926e-05,8.960564931233725e-06,3.247459729512533e-05,3.4183263778686523e-05,1.2401614186729774e-05,2.016623814900716e-05,4.372994105021159e-05,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.040923994862370965,0.004764960271768913,0.0367538562665383,0.0461174889157215,0.18295527179294294,0.013445855534009513,0.1705050286707571,0.197213737345818,12.851546708494425,0.2911479450945526,12.515615292359143,13.030900510028005,0.5759756838281949,True
beta_div2,direct_plus,0.07597568382819493,0.0035633060127769284,0.0727520864456892,0.0798018593341112,0.17052932982468116,0.03466132034361668,0.1330245167789714,0.2013833427189061,0.5684910549057854,0.022284863536748606,0.5429874360561371,0.5842075248559316,0.9970690409342448,5.121355558409265e-05,0.997035930554072,0.9971280296643577,0.08307920428665233,1.3580199380742318e-05,0.0830673661096568,0.0830940292714715,0.987894313202964,0.0022322402981274215,0.9853857656319936,0.9896617035071056,0.0717102674146493,0.006174856966497882,0.0651356180508931,0.0773870162665844,0.466151495774587,0.12288701621157383,0.3339143047730128,0.5768370380004247,0.863162659936481,0.07442323740568224,0.7838805119196574,0.9315191308657328,6.497568554348416e-05,1.1959258864187229e-05,5.2675604820251465e-05,7.656216621398926e-05,0.0004267228974235667,0.00013691493543098465,0.0002702077229817,0.0005242923895517,0.0007819020085864333,0.0001439834916371817,0.0006337662537892,0.0009213387966156,2.8345319959852436e-06,1.0438536504160553e-06,1.6490618387858074e-06,3.6160151163736978e-06,2.222922113206652e-05,1.2045023708678926e-05,8.960564931233725e-06,3.247459729512533e-05,3.4183263778686523e-05,1.2401614186729772e-05,2.016623814900716e-05,4.372994105021159e-05,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.040923994862370965,0.004764960271768914,0.0367538562665383,0.0461174889157215,0.18295527179294294,0.013445855534009512,0.1705050286707571,0.197213737345818,12.910426595403502,0.057453064798486456,12.852713963016868,12.967616525944322,0.5759756838281949,True
raw,direct_plus,0.07597568382819493,0.0035633060127769284,0.0727520864456892,0.0798018593341112,0.17052932982468116,0.034661320343616686,0.1330245167789714,0.2013833427189061,0.5684910549057854,0.0222848635367486,0.5429874360561371,0.5842075248559316,0.9970690409342448,5.1213555584138644e-05,0.997035930554072,0.9971280296643577,0.08307920428665233,1.3580199380732861e-05,0.0830673661096568,0.0830940292714715,0.987894313202964,0.0022322402981274497,0.9853857656319936,0.9896617035071056,0.0717102674146493,0.006174856966497879,0.0651356180508931,0.0773870162665844,0.466151495774587,0.12288701621157387,0.3339143047730128,0.5768370380004247,0.863162659936481,0.07442323740568221,0.7838805119196574,0.9315191308657328,6.497568554348416e-05,1.1959258864187229e-05,5.2675604820251465e-05,7.656216621398926e-05,0.0004267228974235667,0.00013691493543098468,0.0002702077229817,0.0005242923895517,0.0007819020085864333,0.0001439834916371817,0.0006337662537892,0.0009213387966156,2.8345319959852427e-06,1.0438536504160553e-06,1.6490618387858074e-06,3.6160151163736978e-06,2.222922113206652e-05,1.2045023708678923e-05,8.960564931233725e-06,3.247459729512533e-05,3.4183263778686523e-05,1.2401614186729772e-05,2.016623814900716e-05,4.372994105021159e-05,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.040923994862370965,0.004764960271768914,0.0367538562665383,0.0461174889157215,0.18295527179294294,0.013445855534009512,0.1705050286707571,0.197213737345818,12.917492146293322,0.48025217008979804,12.508251467719674,13.44620151212439,0.5759756838281949,True
resnorm_layergain_beta_div1,nudge_0p1_plus,0.07518635545339843,0.003855965901567247,0.072077735637625,0.0795012513796488,62278.375274459715,38569.25926874169,34805.37864396064,106371.31611258826,0.5468453003300561,0.026209732833986612,0.5165906548500061,0.5626377662022909,0.9972001413504282,0.00010980116085614003,0.9970851838588716,0.9973039329051973,3691.446071557526,2116.6418469612777,2308.111063818856,6128.09520873454,0.987653589910931,0.002501370661751826,0.9860509037971495,0.9905358950297036,26748.915256076387,17401.42806165136,14802.938151041666,46714.04166666666,0.466151495774587,0.12288701621157383,0.3339143047730128,0.5768370380004247,7.04939685927497,0.6043515815980796,6.417475620905559,7.62177022298177,0.028965291049745334,0.07427753252076205,-0.0374936958154042,0.1091474642356236,0.00042688681019673334,0.0001370769655203142,0.000270257393519,0.0005249629418055,0.006357593668831666,0.001167757082770418,0.0051655769348144,0.0074994762738545,-1.4238015164931614,1.3776838168987924,-2.982044001420339,-0.3673303723335266,2.2037161721123586e-05,1.2032075694464468e-05,8.811553319295248e-06,3.2335519790649414e-05,0.00027589003245033337,0.00010067646992248502,0.0001620848973592,0.0003533363342285,0.6111111111111112,0.5357583756107197,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,12146.650390625,8455.940783101418,6538.291748046875,21872.7275390625,0.1469129664064557,0.010729196401588918,0.1370362365204427,0.1583284688725446,12.915374417013178,2.349830951537289,10.225463274866344,14.568532902281731,0.5751863554533985,True
layergain_beta_div1,nudge_0p1_plus,0.0751054810567034,0.0036919525820021137,0.0721621730675299,0.079247943436106,1.3931420873402265,0.28747426513542534,1.081383953142219,1.6477460369977104,0.5468453003300561,0.026209732833986647,0.5165906548500061,0.5626377662022909,0.9969079328907862,0.00028331581785080625,0.9967118203639984,0.997232755025228,0.08304914252095273,2.9923078666261085e-05,0.0830199228815041,0.0830797226299586,0.987653589910931,0.0025013706617518683,0.9860509037971495,0.9905358950297036,0.5854508645004697,0.05029677417532157,0.532955010732015,0.6332140068213145,0.466151495774587,0.12288701621157386,0.3339143047730128,0.5768370380004247,7.04939685927497,0.6043515815980793,6.417475620905559,7.62177022298177,0.0005309631427128334,9.817348075142724e-05,0.0004310856262842,0.0006273388862609,0.00042718648910516666,0.0001372285069428595,0.0002702921628952,0.0005248636007308,0.006362429923481367,0.0011744653648314116,0.0051664064327875,0.0075140794118245,2.291467454698351e-05,8.38816018234438e-06,1.341104507446289e-05,2.928574879964193e-05,2.2004048029581707e-05,1.1977633741582694e-05,8.811553319295248e-06,3.21964422861735e-05,0.0002755886978573,0.0001003616875328101,0.0001619656880696,0.000352144241333,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2738108312090238,0.03378652019986333,0.2448009724418322,0.3109066883722941,0.1469129664064557,0.010729196401588936,0.1370362365204427,0.1583284688725446,12.443689481976131,2.854716853609985,9.14983759308234,14.20157990185544,0.5751054810567033,True
resnorm_beta_div1,nudge_0p1_plus,0.07503098435699934,0.00372786171738683,0.0720061101019382,0.0791956949979066,62276.54455255686,38569.95485229164,34804.03607686702,106370.45640504124,0.5468453003300561,0.026209732833986647,0.5165906548500061,0.5626377662022909,0.9968154496616788,0.00019361094644424994,0.9966442088286082,0.9970255394776664,3691.34081184603,2116.693571478817,2307.947119180704,6128.047140634331,0.987653589910931,0.0025013706617518683,0.9860509037971495,0.9905358950297036,26748.19666883681,17401.74927271474,14801.88623046875,46713.67578125,0.466151495774587,0.12288701621157386,0.3339143047730128,0.5768370380004247,7.04939685927497,0.6043515815980793,6.417475620905559,7.62177022298177,0.029073852631780833,0.0742976315531935,-0.0374058634042739,0.1092761804660161,0.00042637023660866666,0.000136822528469128,0.0002700239419937,0.0005242228507995,0.006350232495201933,0.0011655755260673104,0.0051611314217249,0.0074907640616099,-1.5139428128798802,1.4554357101687492,-3.160655657450358,-0.3998189369837443,2.1984179814656574e-05,1.1970216136877405e-05,8.811553319295248e-06,3.21964422861735e-05,0.00027527080641846666,0.00010017131595875792,0.0001619358857472,0.0003519554932912,0.6111111111111112,0.5357583756107197,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,12143.978542751734,8455.814753514598,6535.800944010417,21869.92122395833,0.1469129664064557,0.010729196401588936,0.1370362365204427,0.1583284688725446,11.104026156011969,2.857092827196029,9.379704779945314,14.401965213939548,0.5750309843569994,True
