target_name,target_mode,beta_sign,objective_name,objective_beta_power,objective_residual_norm,objective_layer_gain,seed,dataset,n_samples,noise,hidden_sizes,batch_size,n_batches,infer_steps,infer_lr,step_lr,residual_norm_eps,activation,device,duration_sec,ep_objective,ep_state_delta,ep_saturation,dplus_objective,dplus_state_delta,dplus_saturation,dplus_vs_bp_forward_cosine,dplus_vs_bp_forward_norm_ratio,dplus_vs_bp_forward_sign_agreement,dplus_vs_bp_forward_norm_a,dplus_vs_bp_forward_norm_b,dplus_vs_ep_forward_cosine,dplus_vs_ep_forward_norm_ratio,dplus_vs_ep_forward_sign_agreement,dplus_vs_ep_forward_norm_a,dplus_vs_ep_forward_norm_b,dplus_forward_norm,bp_forward_norm,ep_forward_norm,base_free_mse,base_feedforward_ce,bp_raw_free_mse_decrease,bp_raw_feedforward_ce_decrease,ep_raw_free_mse_decrease,ep_raw_feedforward_ce_decrease,dplus_raw_free_mse_decrease,dplus_raw_feedforward_ce_decrease,dplus_bp_scaled_free_mse_decrease,dplus_bp_scaled_feedforward_ce_decrease,dplus_ep_scaled_free_mse_decrease,dplus_ep_scaled_feedforward_ce_decrease,batch_idx,dplus_raw_free_mse_decrease_positive_rate,dplus_bp_scaled_free_mse_decrease_positive_rate,dplus_ep_scaled_free_mse_decrease_positive_rate,bp_raw_free_mse_decrease_positive_rate,ep_raw_free_mse_decrease_positive_rate,training_iteration,config/experiment_name,config/target_name,config/objective_name,config/seed,config/step_lr,config/dataset,config/n_samples,config/test_size,config/noise,config/hidden_sizes,config/batch_size,config/n_batches,config/infer_steps,config/infer_lr,config/residual_norm_eps,config/activation,config/bias,config/state_clip
nudge_0p1_plus,nudge_0.1,plus,resnorm_layergain_beta_div1,1.0,True,True,42,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,10.225463274866344,5.427160342534383,0.1370362365204427,0.0,6538.291748046875,0.1370362365204427,0.0,0.0739800793429215,45658.43106683024,0.5165906548500061,14802.938151041666,0.3339143047730128,0.9973039329051973,2308.111063818856,0.9863739709059396,14802.938151041666,6.417475620905559,14802.938151041666,0.3339143047730128,6.417475620905559,0.4525083204110463,0.6512693762779236,0.000102753440539,0.0001147389411926,0.005390445391337,0.0001643896102905,-0.0374936958154042,-0.3673303723335266,0.000270257393519,8.811553319295248e-06,0.0051655769348144,0.0001620848973592,2.5,0.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p1_plus,resnorm_layergain_beta_div1,42,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
nudge_0p1_plus,nudge_0.1,plus,resnorm_beta_div2,2.0,True,False,7,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,14.523269881028682,7.175035238265991,0.1453741938263798,0.0,80262.13541666667,0.1453741938263798,0.0,0.0791956968605518,348040.38355105795,0.5626377662022909,187290.29166666663,0.5768370380004247,0.9966441988945008,26380.283420015403,0.9905358950297036,187290.29166666663,7.108944733937581,187290.29166666663,0.5768370380004247,7.108944733937581,0.5047348340352377,0.6594669421513876,0.0003110269705454,0.0003535151481628,0.0067654798428217,0.0003714064757029,0.0139973858992258,-10.531204839547476,0.0005242228507995,3.21964422861735e-05,0.006398802002271,0.0003519554932912,2.5,0.8333333333333334,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p1_plus,resnorm_beta_div2,7,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
direct_plus,direct_clamp,plus,layergain_beta_div1,1.0,False,True,42,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,13.023649455979466,0.7964193224906921,0.1705050286707571,0.0,0.0368176127473513,0.1705050286707571,0.0,0.0754581702252229,0.2013849884883894,0.5429874360561371,0.0651361520091692,0.3339143047730128,0.9973104298114776,0.083094709836897,0.9853857656319936,0.0651361520091692,0.7838805119196574,0.0651361520091692,0.3339143047730128,0.7838805119196574,0.4525083204110463,0.6512693762779236,0.000102753440539,0.0001147389411926,0.0006745159626007,2.07821528116862e-05,5.275507767995199e-05,1.6391277313232422e-06,0.0002705802520116,8.970499038696289e-06,0.0006346354881922,2.0196040471394856e-05,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,direct_plus,layergain_beta_div1,42,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
nudge_0p1_plus,nudge_0.1,plus,resnorm_beta_div1,1.0,True,False,2025,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,9.530408474151043,6.085319677988688,0.1583284688725446,0.0,21869.92122395833,0.1583284688725446,0.0,0.0720061101019382,106370.45640504124,0.5613074799378713,46713.67578125,0.4877031445503235,0.9970255394776664,6128.047140634331,0.9860509037971495,46713.67578125,7.62177022298177,46713.67578125,0.4877031445503235,7.62177022298177,0.5975431601206461,0.6984257499376932,0.0003181397914886,0.0002670188744862,0.0081223249435424,0.000327984491984,0.1092761804660161,-3.160655657450358,0.0004848639170328,2.4944543838500977e-05,0.0074907640616099,0.000311921040217,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p1_plus,resnorm_beta_div1,2025,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
nudge_0p1_plus,nudge_0.1,plus,resnorm_beta_div2,2.0,True,False,2025,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,10.019372416194528,6.085319677988688,0.1583284688725446,0.0,218699.2109375,0.1583284688725446,0.0,0.0720061119645834,1063704.6295362315,0.5613074799378713,467136.78125,0.4877031445503235,0.9970255295435588,61280.47453424312,0.9860509037971495,467136.78125,7.62177022298177,467136.78125,0.4877031445503235,7.62177022298177,0.5975431601206461,0.6984257499376932,0.0003181397914886,0.0002670188744862,0.0081223249435424,0.000327984491984,0.1076180189847946,-26.91726698478063,0.0004848639170328,2.4944543838500977e-05,0.0074907640616099,0.000311921040217,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p1_plus,resnorm_beta_div2,2025,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
direct_plus,direct_clamp,plus,resnorm_beta_div2,2.0,True,False,2025,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,12.862749489955604,0.9105520645777384,0.197213737345818,0.0,3274.84619140625,0.197213737345818,0.0,0.0726971024026473,12996.348688965943,0.5842075248559316,5709.65771484375,0.4877031445503235,0.9970101912816366,6127.820667299943,0.9886354704697928,5709.65771484375,0.9315191308657328,5709.65771484375,0.4877031445503235,0.9315191308657328,0.5975431601206461,0.6984257499376932,0.0003181397914886,0.0002670188744862,0.001019815603892,4.129608472188314e-05,0.1094745645920435,-0.100449522336324,0.0004849135875701,2.5252501169840496e-05,0.0009199579556783,3.861387570699056e-05,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,direct_plus,resnorm_beta_div2,2025,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
direct_plus,direct_clamp,plus,raw,0.0,False,False,7,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,12.508251467719674,1.0160647829373677,0.1811470493622538,0.0,0.0399006394048531,0.1811470493622538,0.0,0.0798018593341112,0.1330245167789714,0.5782782038052877,0.0726081679264704,0.5768370380004247,0.997035930554072,0.0830673661096568,0.9896617035071056,0.0726081679264704,0.874088337024053,0.0726081679264704,0.5768370380004247,0.874088337024053,0.5047348340352377,0.6594669421513876,0.0003110269705454,0.0003535151481628,0.0008463710546493,4.729628562927246e-05,6.568928559621175e-05,3.6160151163736978e-06,0.0005242923895517,3.247459729512533e-05,0.0007906009753545,4.372994105021159e-05,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,direct_plus,raw,7,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
direct_plus,direct_clamp,plus,raw,0.0,False,False,2025,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,12.798023459035903,0.9105520645777384,0.197213737345818,0.0,0.0461174889157215,0.197213737345818,0.0,0.0727520864456892,0.177180129976166,0.5842075248559316,0.0773870162665844,0.4877031445503235,0.9970431625843048,0.0830762174788287,0.9886354704697928,0.0773870162665844,0.9315191308657328,0.0773870162665844,0.4877031445503235,0.9315191308657328,0.5975431601206461,0.6984257499376932,0.0003181397914886,0.0002670188744862,0.001019815603892,4.129608472188314e-05,7.656216621398926e-05,3.238519032796224e-06,0.0004856685797373,2.5252501169840496e-05,0.0009213387966156,3.865361213684082e-05,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,direct_plus,raw,2025,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
nudge_0p01_plus,nudge_0.01,plus,layergain_beta_div1,1.0,False,True,42,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,15.042812436819077,-7.937817653020223,0.0266022057815765,0.0,0.0955299399793148,0.0266022057815765,0.0,0.0699602738022804,3.1497741754170483,0.4837894191344579,1.018686980009079,0.3339143047730128,0.930681029955546,0.0769029183526351,0.9883314073085784,1.018686980009079,13.248630364735922,1.018686980009079,0.3339143047730128,13.248630364735922,0.4525083204110463,0.6512693762779236,0.000102753440539,0.0001147389411926,0.0096135387818018,0.000290443499883,0.0008201748132705,2.4338563283284504e-05,0.0002691398064295,8.364518483479818e-06,0.0105622808138529,0.000316301981608,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p01_plus,layergain_beta_div1,42,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
nudge_0p1_plus,nudge_0.1,plus,beta_div2,2.0,False,False,7,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,0.001,tanh,cuda,14.932032930199057,7.175035238265991,0.1453741938263798,0.0,2.645878235499064,0.1453741938263798,0.0,0.0790904474755128,10.813737136554394,0.5626377662022909,5.9017800490061445,0.5768370380004247,0.996489147345225,0.8301913931511464,0.9905358950297036,5.9017800490061445,7.108944733937581,5.9017800490061445,0.5768370380004247,7.108944733937581,0.5047348340352377,0.6594669421513876,0.0003110269705454,0.0003535151481628,0.0067654798428217,0.0003714064757029,0.0053181946277618,0.000291883945465,0.0005243023236592,3.213683764139811e-05,0.0064002126455307,0.0003514985243479,2.5,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dplus_fix_diagnostic_v2,nudge_0p1_plus,beta_div2,7,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,True,1.0
