variant,weight_lr,mean,std,min,max
ep_gradual_100_0p01_plus,0.001,0.12900641025641021,0.00844203025068326,0.1201923076923077,0.1370192307692307
bp_tanh,0.001,0.1362179487179487,0.019280784319737142,0.1177884615384615,0.15625
ep_nudge_0p01_plus,0.001,0.1362179487179487,0.019280784319737142,0.1177884615384615,0.15625
ep_gradual_100_0p01_plus,0.0001,0.1426282051282051,0.02044447247143122,0.1274038461538461,0.1658653846153846
ep_gradual_100_0p01_plus,5e-05,0.14503205128205124,0.03316378539515201,0.1201923076923077,0.1826923076923076
ep_nudge_0p01_plus,0.0001,0.1538461538461538,0.0410769410832574,0.1153846153846153,0.1971153846153846
ep_nudge_0p01_plus,5e-05,0.1754807692307692,0.05369785553771322,0.1153846153846153,0.21875
ep_gradual_100_0p01_plus,1e-05,0.20913461538461534,0.08596901318388298,0.1177884615384615,0.2884615384615384
bp_tanh,0.0001,0.21794871794871792,0.08244643306085228,0.1610576923076923,0.3125
ep_nudge_0p01_plus,1e-05,0.3068910256410256,0.1730490985468851,0.1658653846153846,0.5
dplus_direct,0.001,0.327724358974359,0.15131506661145547,0.2163461538461538,0.5
dplus_nudge_0p1_plus,0.001,0.328525641025641,0.15043416989629246,0.21875,0.5
dplus_gradual_100_0p01_plus,0.001,0.3453525641025641,0.13675187591788693,0.2403846153846154,0.5
dplus_nudge_0p01_plus,0.001,0.3541666666666667,0.12903378034231194,0.2548076923076923,0.5
dplus_direct,0.0001,0.3557692307692308,0.1271995822627207,0.2596153846153846,0.5
dplus_nudge_0p1_plus,0.0001,0.3565705128205128,0.12675208227070892,0.2596153846153846,0.5
dplus_nudge_0p1_plus,5e-05,0.3581730769230769,0.12493063904025274,0.2644230769230769,0.5
dplus_direct,5e-05,0.3581730769230769,0.12493063904025271,0.2644230769230769,0.5
dplus_gradual_100_0p01_plus,0.0001,0.3581730769230769,0.12493063904025271,0.2644230769230769,0.5
dplus_nudge_0p001_plus,0.0001,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dplus_nudge_0p01_plusminus,0.001,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dplus_nudge_0p01_plusminus,0.0001,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dplus_nudge_0p001_plus,0.001,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dplus_nudge_0p001_plus,1e-05,0.358974358974359,0.12403318166063448,0.2668269230769231,0.5
dplus_nudge_0p01_plus,0.0001,0.358974358974359,0.12403318166063448,0.2668269230769231,0.5
dplus_nudge_0p01_plus,5e-05,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dplus_nudge_0p01_plusminus,5e-05,0.358974358974359,0.12403318166063454,0.2668269230769231,0.5
dplus_nudge_0p01_plusminus,1e-05,0.358974358974359,0.12403318166063448,0.2668269230769231,0.5
dplus_gradual_100_0p01_plus,1e-05,0.358974358974359,0.12403318166063454,0.2668269230769231,0.5
dplus_gradual_100_0p01_plus,5e-05,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dplus_nudge_0p001_plus,5e-05,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dplus_direct,1e-05,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dplus_nudge_0p1_plus,1e-05,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
dplus_nudge_0p01_plus,1e-05,0.358974358974359,0.12403318166063451,0.2668269230769231,0.5
bp_tanh,5e-05,0.39663461538461536,0.20081829178779523,0.2475961538461538,0.625
bp_tanh,1e-05,0.5953525641025641,0.1610636719134902,0.4975961538461538,0.78125
