variant,method,target_mode,beta_sign,seed,dataset,n_epochs,infer_steps,infer_lr,weight_lr,activation,best_epoch,best_test_error,final_test_error,final_test_cost,final_test_energy,final_train_error,final_train_cost,final_train_energy,objective,state_delta,saturation,weight_abs_mean,weight_update_rel_mean,duration_sec,device,training_iteration,config/experiment_name,config/variant,config/weight_lr,config/seed,config/dataset,config/n_samples,config/test_size,config/noise,config/hidden_sizes,config/batch_size,config/n_epochs,config/infer_steps,config/infer_lr,config/activation,config/bias,config/state_clip
dplus_gradual_100_0p01_plus,dplus,gradual_clamp_100_0.01,plus,42,twomoons,30.0,15.0,0.05,0.001,tanh,24,0.2403846153846154,0.2403846153846154,0.41341181901785046,1.21881326345297,0.256875,0.41529307842254637,1.2222562837600708,0.010702779199928045,0.10164616713921232,0.0,0.060202787824543205,0.00033773609186244175,507.3915866347961,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_gradual_100_0p01_plus,0.001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
ep_nudge_0p01_plus,ep,nudge_0.01,plus,2025,twomoons,30.0,15.0,0.05,0.001,tanh,4,0.1346153846153846,0.17067307692307693,0.18364326426616082,4.309692456172063,0.166875,0.18349597841501236,4.280277490615845,-41.17126953125,0.022762448433786626,0.0,0.3988111983488003,0.0013837460936280833,269.4711624290794,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,ep_nudge_0p01_plus,0.001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p001_plus,dplus,nudge_0.001,plus,42,twomoons,30.0,15.0,0.05,0.0001,tanh,0,0.2668269230769231,0.2668269230769231,0.45036426415810216,1.2069120773902307,0.270625,0.451725714802742,1.2105816769599915,5.545193016587291e-05,0.005089267905180652,0.0,0.056959884631528464,0.00033668184972597824,275.88173272972926,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p001_plus,0.0001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
bp_tanh,bp,,,7,twomoons,,,,0.0001,,27,0.16105769230769232,0.16346153846153846,0.6614305743804345,,0.1425,0.6579912292957306,,,,,,,15.091124862898141,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,bp_tanh,0.0001,7,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p01_plus,dplus,nudge_0.01,plus,2025,twomoons,30.0,15.0,0.05,0.0001,tanh,0,0.5,0.5,0.592431705731612,1.1394591698279748,0.499375,0.5937050867080689,1.1957268857955932,0.001101952746976167,0.03109152599082638,0.0,0.05912081324351786,0.00033764985775752867,239.48738967627287,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p01_plus,0.0001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_direct,dplus,direct_clamp,plus,2025,twomoons,30.0,15.0,0.05,0.001,tanh,0,0.5,0.5,0.4993296150977795,1.1265093271548932,0.499375,0.5007117933034897,1.182034420967102,0.03871052831411362,0.17897104590044668,0.0,0.06435380137714976,0.00032963846472604594,245.69975260738283,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_direct,0.001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_nudge_0p01_plusminus,dplus,nudge_0.01,plusminus,42,twomoons,30.0,15.0,0.05,0.001,tanh,0,0.2668269230769231,0.2668269230769231,0.4507039716610542,1.2091331481933594,0.270625,0.4520586669445038,1.2127756834030152,0.0009706873563118279,0.028342177117398632,0.0,0.05708798498385514,0.00035876805623533223,320.7013394879177,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_nudge_0p01_plusminus,0.001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
bp_tanh,bp,,,2025,twomoons,,,,0.001,,5,0.1346153846153846,0.15384615384615385,0.46385284799795884,,0.145,0.4634868538379669,,,,,,,13.777844328898937,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,bp_tanh,0.001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
ep_gradual_100_0p01_plus,ep,gradual_clamp_100_0.01,plus,2025,twomoons,30.0,15.0,0.05,0.001,tanh,28,0.13701923076923078,0.28846153846153844,0.18547877554710096,6.1495173160846415,0.30375,0.20186735510826112,6.071748943328857,-6.90473747253418,0.08413338454129794,0.001588273195876288,0.6109083383530378,0.0057431991120576965,529.525181252975,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,ep_gradual_100_0p01_plus,0.001,2025,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
dplus_gradual_100_0p01_plus,dplus,gradual_clamp_100_0.01,plus,42,twomoons,30.0,15.0,0.05,0.0001,tanh,23,0.2644230769230769,0.2644230769230769,0.44657328037115246,1.2077013070766742,0.266875,0.4479915857315063,1.2113565683364869,0.011400682665407658,0.10585808560252186,0.0,0.057267791065812236,0.00033923205600640293,520.9395365333185,cuda,1,_workspace_ThreeQ_dthreeq_twomoons_screen_v1,dplus_gradual_100_0p01_plus,0.0001,42,twomoons,2000,0.2,0.1,"[128, 64]",32,30,15,0.05,tanh,True,1.0
