,best_test_error,best_test_error,best_test_error,best_test_error,final_test_error,final_test_error,final_test_error,final_test_error,final_train_error,final_train_error,final_train_error,final_train_error,state_delta,state_delta,state_delta,state_delta,saturation,saturation,saturation,saturation,weight_abs_mean,weight_abs_mean,weight_abs_mean,weight_abs_mean,weight_update_rel_mean,weight_update_rel_mean,weight_update_rel_mean,weight_update_rel_mean,duration_sec,duration_sec,duration_sec,duration_sec
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ep_gradual_100_0p01_plus,0.1564503205128205,0.05179522361671976,0.11778846153846154,0.28846153846153844,0.2263621794871795,0.1106378733915272,0.1346153846153846,0.5072115384615384,0.18979166666666666,0.0676273700083215,0.131875,0.30375,0.09328624883537284,0.0058104881024167365,0.08413338454129794,0.10431520546476047,0.0006985609965635738,0.001347878470907569,0.0,0.003740335051546393,0.3142823265344163,0.2167111349061754,0.09823738323990253,0.7218822420636812,0.0011492821472257444,0.0016018707052953868,0.00032863300711553586,0.0057431991120576965,497.3748443368434,90.17395346305474,374.6439066999592,636.4084995207377
ep_nudge_0p01_plus,0.19310897435897437,0.10612292525406143,0.11538461538461539,0.5,0.20232371794871795,0.10179493555613253,0.12259615384615384,0.5,0.18932291666666667,0.10062498529550053,0.131875,0.499375,0.023330715602496638,0.001669298398847538,0.02088695745915175,0.026677718039912476,0.0,0.0,0.0,0.0,0.1807954667885335,0.13363592784067566,0.06939408206186877,0.4143681436404586,0.0005390736021811497,0.00038105442318039695,0.000324484234448484,0.0013837460936280833,254.4129795525611,52.7774424329808,187.0220853658393,382.6611845931038
bp_tanh,0.3365384615384615,0.2176823538582773,0.11778846153846154,0.78125,0.3407451923076923,0.21349403270050066,0.13701923076923078,0.78125,0.32927083333333335,0.20986904624543776,0.13,0.754375,,,,,,,,,,,,,,,,,13.508026708111478,1.4388533896120026,10.804120725020766,16.333406853023916
dplus_direct,0.3501602564102564,0.11368454241360419,0.21634615384615385,0.5,0.3501602564102564,0.11368454241360419,0.21634615384615385,0.5,0.34041666666666665,0.11836520590822698,0.225625,0.499375,0.1778996399932334,0.012686673865103299,0.1589569461454327,0.19679525522049512,0.0,0.0,0.0,0.0,0.06002834990156786,0.0025177672123767886,0.05698269093132219,0.06480249088028586,0.0003308561484409464,6.817757974062507e-06,0.0003186932882767201,0.00033768705855321217,257.7371711701465,46.45854362260567,216.48632593406364,389.3205623519607
dplus_nudge_0p1_plus,0.3505608974358974,0.11334903775252188,0.21875,0.5,0.3505608974358974,0.11334903775252188,0.21875,0.5,0.3422395833333334,0.11668341076407511,0.236875,0.499375,0.14343553916965093,0.009858495222256819,0.12903484485267355,0.15805428182395798,0.0,0.0,0.0,0.0,0.05978387767278056,0.0022163140426016835,0.056973807646090203,0.06395647627261725,0.0003313882242134411,7.303549189541257e-06,0.0003181150682797458,0.0003375888258981186,240.88132532934347,18.586495802172944,204.28863659501076,275.48074411507696
dplus_gradual_100_0p01_plus,0.3553685897435897,0.10894409244778723,0.2403846153846154,0.5,0.3553685897435897,0.10894409244778723,0.2403846153846154,0.5,0.34609375000000003,0.11333845538364284,0.256875,0.499375,0.11164582087296165,0.007571440570482429,0.10164616713921232,0.12258769049619636,0.0,0.0,0.0,0.0,0.059571799102359206,0.0019744187632727275,0.05696607876995736,0.06344278731408848,0.0003377338441811543,1.7381702717882529e-06,0.0003347240336766983,0.0003392767204205582,494.44122586228576,60.238970443226265,406.1067102700472,624.1898944238201
dplus_nudge_0p01_plus,0.3577724358974359,0.10688006028126619,0.2548076923076923,0.5,0.3577724358974359,0.10688006028126619,0.2548076923076923,0.5,0.3478125,0.11199333507969449,0.264375,0.499375,0.028386875126873035,0.001966873032379994,0.026359298474465803,0.03115669944634041,0.0,0.0,0.0,0.0,0.058841102782897885,0.0013198003159624152,0.056941568960416605,0.060710680024437046,0.00033233182936170507,8.81391263235754e-06,0.0003167782769889758,0.00033919913385881817,230.2441009732817,28.17096038997417,181.28126654634252,270.7784390677698
dplus_nudge_0p001_plus,0.358974358974359,0.10577585272765136,0.2668269230769231,0.5,0.358974358974359,0.10577585272765136,0.2668269230769231,0.5,0.34890625,0.11117564068799589,0.268125,0.499375,0.00543809828814119,0.000738038129118908,0.0047945789325361445,0.006429468202404678,0.0,0.0,0.0,0.0,0.05864464165115288,0.0012495419050952965,0.05693519337871212,0.06002861165472571,0.0003314849421113413,1.0016875150702871e-05,0.000314313771286469,0.0003398670451355961,231.81934282024545,29.197907830600066,182.08839702000841,276.34132587118074
dplus_nudge_0p01_plusminus,0.358974358974359,0.10577585272765135,0.2668269230769231,0.5,0.358974358974359,0.10577585272765135,0.2668269230769231,0.5,0.3491666666666667,0.1109768522820153,0.270625,0.499375,0.030142351136051324,0.0016625726680260305,0.028335367328642554,0.03223293861451868,0.0,0.0,0.0,0.0,0.058626081230628874,0.0012610567576545795,0.056934003617027724,0.06003087944643312,0.0003377881696047188,1.3632345627716476e-05,0.00031510333956796463,0.00035876805623533223,306.1952229690505,35.91274136135353,230.9629931631498,341.0297639439814
