target_name,target_mode,beta_sign,seed,dataset,n_samples,noise,hidden_sizes,batch_size,n_batches,infer_steps,infer_lr,step_lr,activation,device,duration_sec,ep_objective,ep_state_delta,ep_saturation,dplus_objective,dplus_state_delta,dplus_saturation,bp_full_direction_norm,bp_forward_direction_norm,ep_full_direction_norm,ep_forward_direction_norm,dplus_full_direction_norm,dplus_forward_direction_norm,dplus_vs_bp_full_cosine,dplus_vs_bp_full_norm_ratio,dplus_vs_bp_full_sign_agreement,dplus_vs_bp_full_norm_a,dplus_vs_bp_full_norm_b,dplus_vs_bp_forward_cosine,dplus_vs_bp_forward_norm_ratio,dplus_vs_bp_forward_sign_agreement,dplus_vs_bp_forward_norm_a,dplus_vs_bp_forward_norm_b,ep_vs_bp_full_cosine,ep_vs_bp_full_norm_ratio,ep_vs_bp_full_sign_agreement,ep_vs_bp_full_norm_a,ep_vs_bp_full_norm_b,ep_vs_bp_forward_cosine,ep_vs_bp_forward_norm_ratio,ep_vs_bp_forward_sign_agreement,ep_vs_bp_forward_norm_a,ep_vs_bp_forward_norm_b,dplus_vs_ep_full_cosine,dplus_vs_ep_full_norm_ratio,dplus_vs_ep_full_sign_agreement,dplus_vs_ep_full_norm_a,dplus_vs_ep_full_norm_b,dplus_vs_ep_forward_cosine,dplus_vs_ep_forward_norm_ratio,dplus_vs_ep_forward_sign_agreement,dplus_vs_ep_forward_norm_a,dplus_vs_ep_forward_norm_b,base_free_mse,base_feedforward_ce,bp_step_norm,bp_free_mse_decrease_raw,bp_feedforward_ce_decrease_raw,bp_free_mse_decrease_bp_normed,bp_feedforward_ce_decrease_bp_normed,ep_free_mse_decrease_raw,ep_feedforward_ce_decrease_raw,ep_free_mse_decrease_bp_normed,ep_feedforward_ce_decrease_bp_normed,dplus_free_mse_decrease_raw,dplus_feedforward_ce_decrease_raw,dplus_free_mse_decrease_bp_normed,dplus_feedforward_ce_decrease_bp_normed,batch_idx,bp_free_mse_decrease_raw_positive_rate,bp_free_mse_decrease_bp_normed_positive_rate,bp_feedforward_ce_decrease_raw_positive_rate,bp_feedforward_ce_decrease_bp_normed_positive_rate,ep_free_mse_decrease_raw_positive_rate,ep_free_mse_decrease_bp_normed_positive_rate,ep_feedforward_ce_decrease_raw_positive_rate,ep_feedforward_ce_decrease_bp_normed_positive_rate,dplus_free_mse_decrease_raw_positive_rate,dplus_free_mse_decrease_bp_normed_positive_rate,dplus_feedforward_ce_decrease_raw_positive_rate,dplus_feedforward_ce_decrease_bp_normed_positive_rate,training_iteration,config/experiment_name,config/target_name,config/seed,config/step_lr,config/dataset,config/n_samples,config/test_size,config/noise,config/hidden_sizes,config/batch_size,config/n_batches,config/infer_steps,config/infer_lr,config/activation,config/bias,config/state_clip
nudge_0p001_plus,nudge_0.001,plus,2025,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.0001,tanh,cuda,8.61517309397459,-120.47653706868488,0.0064307988181503,0.0,6.320442419867807e-05,0.0064307988181503,0.0,0.4877031445503235,0.4877031445503235,140.07564544677734,56.176191329956055,0.0033649818506091,0.0016085494038028,0.0283941800686686,0.0076989868232396,0.2600722064574559,0.0033649818506091,0.4877031445503235,0.0600344091653823,0.0036898869684247,0.5201444129149119,0.0016085494038028,0.4877031445503235,0.014277139911428,321.070477804118,0.2600056926409403,140.07564544677734,0.4877031445503235,0.0357790670047203,128.88451546064525,0.5200113852818807,56.176191329956055,0.4877031445503235,0.3917106141646703,2.402261807006128e-05,0.9253895580768584,0.0033649818506091,140.07564544677734,0.4032783309618632,2.8637654586453415e-05,0.991771161556244,0.0016085494038028,56.176191329956055,0.5975431601206461,0.6984257499376932,4.877031096839346e-05,3.189841906229655e-05,2.6732683181762692e-05,3.189841906229655e-05,2.6732683181762692e-05,0.0023477574189503,0.0001331766446431,8.354584376017252e-06,6.357828776041666e-07,1.4901161193847656e-07,9.934107462565104e-09,2.3156404495239254e-05,1.142422358194987e-06,2.5,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,1.0,1.0,0.1666666666666666,0.8333333333333334,1,_workspace_ThreeQ_dthreeq_mechanism_diagnostic_v1,nudge_0p001_plus,2025,0.0001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,tanh,True,1.0
gradual_100_0p01_plus,gradual_clamp_100_0.01,plus,7,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,cuda,10.242512463126332,-15.565713246663412,0.111338284642746,0.0,0.0109657570719718,0.111338284642746,0.0,0.5768370380004247,0.5768370380004247,96.72869491577148,49.75770886739095,0.038411907851696,0.0342590647439161,0.0539327605317036,0.0705179845176136,0.26946027080218,0.038411907851696,0.5768370380004247,0.0604458469897508,0.0628706971535478,0.53892054160436,0.0342590647439161,0.5768370380004247,0.0369561531891425,177.44857894747506,0.2696598172187805,96.72869491577148,0.5768370380004247,0.0718890614807605,91.32665839080708,0.539319634437561,49.75770886739095,0.5768370380004247,0.5266335010528564,0.0003972031931056,0.9219973186651864,0.038411907851696,96.72869491577148,0.8353061079978943,0.0006886074549067,0.9835233489672344,0.0342590647439161,49.75770886739095,0.5047348340352377,0.6594669421513876,0.0005768370659401,0.0003110269705454,0.0003535151481628,0.0003110269705454,0.0003535151481628,0.0430035640796025,0.0021977325280507,0.0002696017424265,1.5050172805786133e-05,3.0587116877237953e-05,1.3113021850585938e-06,0.0004619906346003,2.242128054300944e-05,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dthreeq_mechanism_diagnostic_v1,gradual_100_0p01_plus,7,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,tanh,True,1.0
nudge_0p001_plus,nudge_0.001,plus,2025,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,cuda,7.443652086891234,-120.47653706868488,0.0064307988181503,0.0,6.320442419867807e-05,0.0064307988181503,0.0,0.4877031445503235,0.4877031445503235,140.07564544677734,56.176191329956055,0.0033649818506091,0.0016085494038028,0.0283941800686686,0.0076989868232396,0.2600722064574559,0.0033649818506091,0.4877031445503235,0.0600344091653823,0.0036898869684247,0.5201444129149119,0.0016085494038028,0.4877031445503235,0.014277139911428,321.070477804118,0.2600056926409403,140.07564544677734,0.4877031445503235,0.0357790670047203,128.88451546064525,0.5200113852818807,56.176191329956055,0.4877031445503235,0.3917106141646703,2.402261807006128e-05,0.9253895580768584,0.0033649818506091,140.07564544677734,0.4032783309618632,2.8637654586453415e-05,0.991771161556244,0.0016085494038028,56.176191329956055,0.5975431601206461,0.6984257499376932,0.0004877031363624,0.0003181397914886,0.0002670188744862,0.0003181397914886,0.0002670188744862,0.02272230386734,0.0012798408667246,8.373459180196126e-05,6.447235743204753e-06,1.5695889790852864e-06,4.967053731282552e-08,0.0002315441767374,1.1374553044637045e-05,2.5,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.5,0.8333333333333334,1,_workspace_ThreeQ_dthreeq_mechanism_diagnostic_v1,nudge_0p001_plus,2025,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,tanh,True,1.0
direct_plus,direct_clamp,plus,7,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,cuda,7.033686252776533,1.0160647829373677,0.1811470493622538,0.0,0.0399006394048531,0.1811470493622538,0.0,0.5768370380004247,0.5768370380004247,1.3507441878318789,0.874088337024053,0.0727349606653054,0.0726081679264704,0.0796633486946423,0.1332577049854575,0.2891391019026438,0.0727349606653054,0.5768370380004247,0.0798018593341112,0.1330245167789714,0.5782782038052877,0.0726081679264704,0.5768370380004247,0.05594346486032,2.4719775397796138,0.2893291413784027,1.3507441878318789,0.5768370380004247,0.0865673472483952,1.6014139132909986,0.5786582827568054,0.874088337024053,0.5768370380004247,0.6689881483713785,0.05385611464847,0.9058912793795268,0.0727349606653054,1.3507441878318789,0.997035930554072,0.0830673661096568,0.9896617035071056,0.0726081679264704,0.874088337024053,0.5047348340352377,0.6594669421513876,0.0005768370659401,0.0003110269705454,0.0003535151481628,0.0003110269705454,0.0003535151481628,0.0008463710546493,4.729628562927246e-05,0.0003629624843597,2.2590160369873047e-05,6.568928559621175e-05,3.6160151163736978e-06,0.0005233883857727,3.238519032796224e-05,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dthreeq_mechanism_diagnostic_v1,direct_plus,7,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,tanh,True,1.0
nudge_0p1_plus,nudge_0.1,plus,42,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,cuda,7.623832251410931,5.427160342534383,0.1370362365204427,0.0,0.0244176788255572,0.1370362365204427,0.0,0.3339143047730128,0.3339143047730128,9.801322778066,6.417475620905559,0.0533709687491258,0.0532949889699618,0.073751342172424,0.1650053351257017,0.258295327425003,0.0533709687491258,0.3339143047730128,0.0738586119065682,0.1647730270480384,0.5165906548500061,0.0532949889699618,0.3339143047730128,0.0491678658872842,30.3107533541552,0.2591790134708087,9.801322778066,0.3339143047730128,0.0751131872336069,19.840769890345445,0.5183580269416174,6.417475620905559,0.3339143047730128,0.6756494541962942,0.0054451954287974,0.9122576713562012,0.0533709687491258,9.801322778066,0.9965607027212778,0.00830469849366,0.9863739709059396,0.0532949889699618,6.417475620905559,0.4525083204110463,0.6512693762779236,0.00033391432468,0.000102753440539,0.0001147389411926,0.000102753440539,0.0001147389411926,0.005390445391337,0.0001643896102905,0.000184749563535,5.841255187988281e-06,4.308422406514486e-05,1.3113021850585938e-06,0.0002697209517161,8.801619211832682e-06,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dthreeq_mechanism_diagnostic_v1,nudge_0p1_plus,42,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,tanh,True,1.0
nudge_0p01_plus,nudge_0.01,plus,42,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,cuda,9.35670043900609,-7.937817653020223,0.0266022057815765,0.0,0.0008934403401023,0.0266022057815765,0.0,0.3339143047730128,0.3339143047730128,22.42509873708089,13.248630364735922,0.0104343875621755,0.010184538240234,0.0682423803955316,0.0322483456307144,0.2418947095672289,0.0104343875621755,0.3339143047730128,0.0699684588859478,0.0314905585404347,0.4837894191344579,0.010184538240234,0.3339143047730128,0.0382121074944734,69.3054736522043,0.2423128063480059,22.42509873708089,0.3339143047730128,0.0648114122450351,40.9525716931018,0.4846256126960118,13.248630364735922,0.3339143047730128,0.5905589958031973,0.0004654756611437,0.9210566182931264,0.0104343875621755,22.42509873708089,0.925767183303833,0.0007688535642092,0.9883314073085784,0.010184538240234,13.248630364735922,0.4525083204110463,0.6512693762779236,0.00033391432468,0.000102753440539,0.0001147389411926,0.000102753440539,0.0001147389411926,0.0096135387818018,0.000290443499883,0.0001448343197504,4.5100847880045576e-06,8.210539817810059e-06,2.086162567138672e-07,0.0002630253632863,8.145968119303385e-06,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dthreeq_mechanism_diagnostic_v1,nudge_0p01_plus,42,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,tanh,True,1.0
nudge_0p01_plus,nudge_0.01,plus,7,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,cuda,8.31440130667761,-7.343447208404541,0.0277714618455825,0.0,0.0008917679272902,0.0277714618455825,0.0,0.5768370380004247,0.5768370380004247,24.22335688273112,13.767380714416504,0.0110739287920296,0.0104753985069692,0.0690915429343779,0.0203093131373442,0.2560053120056788,0.0110739287920296,0.5768370380004247,0.0730162244290113,0.019206397334354,0.5120106240113577,0.0104753985069692,0.5768370380004247,0.042237978739043,44.41707545149788,0.2559578021367391,24.22335688273112,0.5768370380004247,0.0743227563798427,25.247175507878374,0.5119156042734782,13.767380714416504,0.5768370380004247,0.5819293856620789,0.0004572067037465,0.9370391170183816,0.0110739287920296,24.22335688273112,0.9176954726378124,0.0007609231391881,0.9904408752918245,0.0104753985069692,13.767380714416504,0.5047348340352377,0.6594669421513876,0.0005768370659401,0.0003110269705454,0.0003535151481628,0.0003110269705454,0.0003535151481628,0.0121415654818216,0.0006340642770131,0.0002941538890202,1.7036994298299153e-05,9.45727030436198e-06,4.669030507405599e-07,0.0004963775475819,2.7954578399658203e-05,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dthreeq_mechanism_diagnostic_v1,nudge_0p01_plus,7,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,tanh,True,1.0
nudge_0p01_plusminus,nudge_0.01,plusminus,2025,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,cuda,8.375648171175271,-3.3770721753438315,0.0322102499129768,0.0,0.0012500637482541,0.0322102499129768,0.0,0.4877031445503235,0.4877031445503235,24.78337065378825,14.778922239939371,0.0030123490917806,0.0005836929970731,-0.0195317428248624,0.0068882846122381,0.2590649873018265,0.0030123490917806,0.4877031445503235,-0.1011657789349556,0.001341746303123,0.518129974603653,0.0005836929970731,0.4877031445503235,0.0438888712475697,56.589946093821794,0.284264529744784,24.78337065378825,0.4877031445503235,0.0739373316367467,33.85792698212927,0.5685290594895681,14.778922239939371,0.4877031445503235,-0.1076373495161533,0.0001215461834134,0.5093120336532593,0.0030123490917806,24.78337065378825,-0.9374567866325378,3.950811267979548e-05,0.5304446816444397,0.0005836929970731,14.778922239939371,0.5975431601206461,0.6984257499376932,0.0004877031363624,0.0003181397914886,0.0002670188744862,0.0003181397914886,0.0002670188744862,0.0156276126702626,0.0006175736586252,0.0003119607766469,1.5040238698323568e-05,-5.364418029785156e-07,-1.9868214925130207e-08,-8.629759152730306e-05,-4.8478444417317706e-06,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,_workspace_ThreeQ_dthreeq_mechanism_diagnostic_v1,nudge_0p01_plusminus,2025,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,tanh,True,1.0
nudge_0p1_plus,nudge_0.1,plus,7,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.001,tanh,cuda,9.124893291853368,7.175035238265991,0.1453741938263798,0.0,0.0264587824543317,0.1453741938263798,0.0,0.5768370380004247,0.5768370380004247,11.26706870396932,7.108944733937581,0.0591600202023983,0.0590177985529104,0.0789012275636196,0.1083990748089066,0.2813188831011454,0.0591600202023983,0.5768370380004247,0.0790904474755128,0.1081373674467107,0.5626377662022909,0.0590177985529104,0.5768370380004247,0.0527695938944816,20.62051426637186,0.2817179709672928,11.26706870396932,0.5768370380004247,0.0837560606499513,13.025734650084772,0.5634359419345856,7.108944733937581,0.5768370380004247,0.6541278958320618,0.0052515405578568,0.9206100006898243,0.0591600202023983,11.26706870396932,0.99648912747701,0.0083019136597743,0.9905358950297036,0.0590177985529104,7.108944733937581,0.5047348340352377,0.6594669421513876,0.0005768370659401,0.0003110269705454,0.0003535151481628,0.0003110269705454,0.0003535151481628,0.0067654798428217,0.0003714064757029,0.0003495067358016,2.1318594614664715e-05,5.337099234263102e-05,2.9305617014567056e-06,0.0005230555931727,3.203749656677246e-05,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dthreeq_mechanism_diagnostic_v1,nudge_0p1_plus,7,0.001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,tanh,True,1.0
nudge_0p1_plus,nudge_0.1,plus,2025,twomoons,2000,0.1,"[128, 64]",32,6,15,0.05,0.0001,tanh,cuda,9.613212648779154,6.085319677988688,0.1583284688725446,0.0,0.0310070275639494,0.1583284688725446,0.0,0.4877031445503235,0.4877031445503235,12.278576215108236,7.62177022298177,0.0634338886787494,0.0633208851019541,0.0719181640694538,0.1452852485098582,0.2806537399689356,0.0634338886787494,0.4877031445503235,0.0720480401068925,0.1450284439900315,0.5613074799378713,0.0633208851019541,0.4877031445503235,0.0465898138160506,28.047090503027988,0.2792284240325292,12.278576215108236,0.4877031445503235,0.0753674134612083,17.4566596790703,0.5584568480650584,7.62177022298177,0.4877031445503235,0.645987461010615,0.0051674018975214,0.9177118837833405,0.0634338886787494,12.278576215108236,0.9970453381538392,0.0083079046245813,0.9860509037971495,0.0633208851019541,7.62177022298177,0.5975431601206461,0.6984257499376932,4.877031096839346e-05,3.189841906229655e-05,2.6732683181762692e-05,3.189841906229655e-05,2.6732683181762692e-05,0.0008164842923482,3.286202748616537e-05,3.2573938369750977e-05,1.6093254089355469e-06,6.238619486490886e-06,2.483526865641276e-07,4.846851030985514e-05,2.483526865641276e-06,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,_workspace_ThreeQ_dthreeq_mechanism_diagnostic_v1,nudge_0p1_plus,2025,0.0001,twomoons,2000,0.2,0.1,"[128, 64]",32,6,15,0.05,tanh,True,1.0
