variant,seed,dataset,n_epochs,free_steps,weak_steps,epsilon,beta,weight_update,weak_mode,transpose_tied,best_epoch,best_valid_error,final_valid_error,final_valid_cost,final_valid_energy,final_train_error,final_train_cost,final_train_energy,rho,saturation,state_delta_l1,state_delta_l2,weight_abs_mean,weight_update_rel_mean,duration_sec,device,training_iteration,config/experiment_name,config/variant,config/seed,config/n_samples,config/noise,config/hidden_sizes,config/batch_size,config/n_epochs,config/free_steps,config/epsilon,config/beta,config/alphas
direct_cost_w50,0,twomoons,20,50,50,0.05,0.5,direct,cost,False,11,0.155000002682209,0.4800000131130219,0.784658944606781,0.029626035317778587,0.45125000849366187,0.7829659849405288,0.027806866308674218,0.5759342417120934,0.13356617647058827,0.03746235240250826,0.2836019121110439,0.2263795635662973,0.000293856705135399,162.54882718995214,cuda,1,_workspace_ThreeQ_threeq_minimal_comparable_v1,direct_cost_w50,0,1000,0.1,[32],20,20,50,0.05,0.5,"[0.05, 0.01]"
ep_cost_w50,0,twomoons,20,50,50,0.05,0.5,ep,cost,False,14,0.1450000025331974,0.17000000216066838,0.4718134194612503,41.95912590026855,0.15875000255182387,0.4758004657924175,40.993503618240354,0.6779869243502616,0.3154044117647058,0.025993043091148138,0.25908256582915784,0.8697113587521017,0.001211415447980402,109.99106470029801,cuda,1,_workspace_ThreeQ_threeq_minimal_comparable_v1,ep_cost_w50,0,1000,0.1,[32],20,20,50,0.05,0.5,"[0.05, 0.01]"
ep_tied_w10,0,twomoons,20,50,10,0.05,0.5,ep,cost,True,1,0.155000002682209,0.6550000131130218,0.9405451416969299,1.1012060284614562,0.6400000110268593,0.9466497078537941,1.0825102418661117,0.6534891650080681,0.538308823529412,0.0034402712481096387,0.16777779422700406,0.34414472728967666,0.001475587866696908,79.25643043778837,cuda,1,_workspace_ThreeQ_threeq_minimal_comparable_v1,ep_tied_w10,0,1000,0.1,[32],20,20,50,0.05,0.5,"[0.05, 0.01]"
direct_linear_w10,1,twomoons,20,50,10,0.05,0.5,direct,linear_clamp,False,6,0.2900000050663948,0.5550000041723251,0.9273273706436157,0.050800259411334994,0.5950000144541263,0.93621476739645,0.053658056538552046,0.6084012672305107,0.4118014705882354,0.011234794068150223,0.022445574309676884,0.2172076901420951,0.00040717758512709206,108.73356375703588,cuda,1,_workspace_ThreeQ_threeq_minimal_comparable_v1,direct_linear_w10,1,1000,0.1,[32],20,20,50,0.05,0.5,"[0.05, 0.01]"
ep_cost_w10,0,twomoons,20,50,10,0.05,0.5,ep,cost,False,16,0.1450000025331974,0.16000000312924384,0.5010599672794342,1.0817041516304016,0.15000000242143868,0.5047555357217789,1.080615895986557,0.3634157322347164,0.360845588235294,0.003869552590185776,0.15587062239646912,0.26803875286132095,0.000631442742177569,85.3016839530319,cuda,1,_workspace_ThreeQ_threeq_minimal_comparable_v1,ep_cost_w10,0,1000,0.1,[32],20,20,50,0.05,0.5,"[0.05, 0.01]"
ep_tied_w10,2,twomoons,20,50,10,0.05,0.5,ep,cost,True,1,0.2599999994039536,0.535000017285347,0.8261676907539368,1.6575581073760985,0.4912500113248825,0.8243378832936287,1.5735343754291535,0.6380988001823426,0.5347794117647059,0.0038997431343887,0.16319421604275702,0.37047301419079304,0.0013115523273307399,85.07808301132172,cuda,1,_workspace_ThreeQ_threeq_minimal_comparable_v1,ep_tied_w10,2,1000,0.1,[32],20,20,50,0.05,0.5,"[0.05, 0.01]"
ep_cost_w2,2,twomoons,20,50,2,0.05,0.5,ep,cost,False,0,0.535000017285347,0.535000017285347,0.7861541092395783,0.5131848663091659,0.4912500113248825,0.7861114799976349,0.5142865285277367,0.3474734418094158,0.4676102941176471,0.0003993171871115919,0.04687305390834808,0.21738563627004623,0.0002691474550470702,81.00110912881792,cuda,1,_workspace_ThreeQ_threeq_minimal_comparable_v1,ep_cost_w2,2,1000,0.1,[32],20,20,50,0.05,0.5,"[0.05, 0.01]"
ep_cost_w50,1,twomoons,20,50,50,0.05,0.5,ep,cost,False,1,0.18000000417232515,0.4650000162422657,0.5381588727235794,14.222907638549804,0.5087500095367432,0.551699810475111,12.936257529258729,0.6986140519380569,0.5396691176470589,0.016216825949959456,0.27769082561135294,0.5596834992989898,0.0013598347678398588,111.23018422722816,cuda,1,_workspace_ThreeQ_threeq_minimal_comparable_v1,ep_cost_w50,1,1000,0.1,[32],20,20,50,0.05,0.5,"[0.05, 0.01]"
direct_linear_w10,2,twomoons,20,50,10,0.05,0.5,direct,linear_clamp,False,19,0.5250000149011612,0.5250000149011612,0.6650048971176148,0.029946775920689107,0.4900000110268593,0.6657197743654251,0.029034394351765514,0.4220596894621849,0.2508455882352941,0.01154972375370562,0.05479460908100009,0.21664529191330076,0.0003826726973352104,101.55581717472523,cuda,1,_workspace_ThreeQ_threeq_minimal_comparable_v1,direct_linear_w10,2,1000,0.1,[32],20,20,50,0.05,0.5,"[0.05, 0.01]"
ep_cost_w2,1,twomoons,20,50,2,0.05,0.5,ep,cost,False,19,0.5300000131130218,0.5300000131130218,0.9994787216186524,0.43954125344753264,0.5287500128149987,0.9998392507433891,0.44405875727534294,0.5192607298493386,0.6724264705882352,0.0002600842126412317,0.04505096096545458,0.22627560514956713,0.0002567477446075154,75.3277914589271,cuda,1,_workspace_ThreeQ_threeq_minimal_comparable_v1,ep_cost_w2,1,1000,0.1,[32],20,20,50,0.05,0.5,"[0.05, 0.01]"
