variant,family,seed,dataset,train_subset,test_subset,n_epochs,batch_size,best_epoch,best_test_error,final_test_error,final_test_cost,final_train_error,final_train_cost,final_train_energy,state_delta,saturation,weight_abs_mean,weight_update_rel_mean,duration_sec,device,curve_json,module_dir,training_iteration,config/experiment_name,config/variant,config/seed,config/dataset,config/train_subset,config/test_subset,config/n_epochs,config/batch_size,config/hidden_sizes,config/free_steps,config/weak_steps,config/epsilon,config/beta,config/infer_steps,config/infer_lr,config/weight_lr,config/activation,config/bias,config/state_clip,config/residual_norm_eps,config/conv_channels,config/kernel_sizes,config/strides,config/paddings,config/conv_free_steps,config/conv_weak_steps,config/conv_epsilon,target_mode,beta_sign,loss_mode,objective_name,weight_update,weak_mode,transpose_tied
cnnthreeq_direct,legacy_conv,2025,mnist,3000,1000,3,64,2,0.8236328139901161,0.8236328139901161,0.9833354391157627,0.8163943772620343,0.9824132120355646,23.75296787505454,,,,0.0012420657914652823,39.69930622726679,cuda,"[{""epoch"": 0.0, ""test_cost"": 0.9838142991065979, ""test_energy"": 24.639546871185303, ""test_error"": 0.8408203125, ""test_saturation"": 0.38240689856622306, ""train_cost"": 0.9834210733149914, ""train_energy"": 26.731963786673038, ""train_error"": 0.8699658069204776, ""weak_cost"": 0.43686827002687656, ""weight_update_rel_mean"": 0.006759799967806453}, {""epoch"": 1.0, ""test_cost"": 0.9838620908558369, ""test_energy"": 23.973021030426025, ""test_error"": 0.8251953125, ""test_saturation"": 0.3897657735266159, ""train_cost"": 0.9829929153969947, ""train_energy"": 24.236397438860955, ""train_error"": 0.8214285728779245, ""weak_cost"": 0.4372058352257343, ""weight_update_rel_mean"": 0.0017601355983664845}, {""epoch"": 2.0, ""test_cost"": 0.9833354391157627, ""test_energy"": 23.63747787475586, ""test_error"": 0.8236328139901161, ""test_saturation"": 0.39263456511406847, ""train_cost"": 0.9824132120355646, ""train_energy"": 23.75296787505454, ""train_error"": 0.8163943772620343, ""weak_cost"": 0.43505082739160417, ""weight_update_rel_mean"": 0.0012420657914652823}]",CNN3Q,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,cnnthreeq_direct,2025,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,,,
epcnnthreeq_ep,legacy_conv,42,mnist,3000,1000,3,64,2,0.9212890639901161,0.9212890639901161,0.9851858355104923,0.9314684664949457,0.9853529055067833,25.703362688105155,,,,0.001254938808983895,39.786733873188496,cuda,"[{""epoch"": 0.0, ""test_cost"": 0.9900394007563591, ""test_energy"": 26.16593647003174, ""test_error"": 0.9417968764901161, ""test_saturation"": 0.511493979721166, ""train_cost"": 0.9911250066249928, ""train_energy"": 27.20071764195219, ""train_error"": 0.9394471898992011, ""weak_cost"": 0.4721919184035443, ""weight_update_rel_mean"": 0.005956760436334895}, {""epoch"": 1.0, ""test_cost"": 0.9872998967766762, ""test_energy"": 26.0233234167099, ""test_error"": 0.9330078139901161, ""test_saturation"": 0.5164218452946767, ""train_cost"": 0.9879579239703239, ""train_energy"": 25.879366732658223, ""train_error"": 0.9386398183538559, ""weak_cost"": 0.4585918733414183, ""weight_update_rel_mean"": 0.001781373182042526}, {""epoch"": 2.0, ""test_cost"": 0.9851858355104923, ""test_energy"": 25.815744400024414, ""test_error"": 0.9212890639901161, ""test_saturation"": 0.516918790597275, ""train_cost"": 0.9853529055067833, ""train_energy"": 25.703362688105155, ""train_error"": 0.9314684664949457, ""weak_cost"": 0.4497549445071119, ""weight_update_rel_mean"": 0.001254938808983895}]",EPCNN3Q,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,epcnnthreeq_ep,42,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,,,
dthreeq_ep_nudge_0p01,dthreeq,42,mnist,3000,1000,3,64,2,0.8714843764901161,0.8714843764901161,0.20648437552154064,0.8620820679563157,0.21252790125126533,62.764652739179894,0.015820933017113525,0.0019965617382406934,0.04860619969970666,0.004261935464308653,41.66355771012604,cuda,"[{""epoch"": 0.0, ""objective"": -108.44400284138132, ""saturation"": 0.005285292966986668, ""state_delta"": 0.017873180079016282, ""test_cost"": 0.25569496490061283, ""test_energy"": 66.35215520858765, ""test_error"": 0.8746093772351742, ""test_saturation"": 0.004296875, ""train_cost"": 0.27180106335497917, ""train_energy"": 66.61639290667594, ""train_error"": 0.8753799402967413, ""weight_abs_mean"": 0.04575266189204152, ""weight_update_rel_mean"": 75.13227507934431}, {""epoch"": 1.0, ""objective"": -107.27957055923787, ""saturation"": 0.003269217024286015, ""state_delta"": 0.016704482941207945, ""test_cost"": 0.2265005148947239, ""test_energy"": 64.36753749847412, ""test_error"": 0.876953125, ""test_saturation"": 0.0025970761138613863, ""train_cost"": 0.23680321491779166, ""train_energy"": 64.84152603149414, ""train_error"": 0.8645041800559835, ""weight_abs_mean"": 0.0472583688064049, ""weight_update_rel_mean"": 0.00745205818924959}, {""epoch"": 2.0, ""objective"": -104.45325323875915, ""saturation"": 0.0019965617382406934, ""state_delta"": 0.015820933017113525, ""test_cost"": 0.20648437552154064, ""test_energy"": 62.180930376052856, ""test_error"": 0.8714843764901161, ""test_saturation"": 0.0016417852722772283, ""train_cost"": 0.21252790125126533, ""train_energy"": 62.764652739179894, ""train_error"": 0.8620820679563157, ""weight_abs_mean"": 0.04860619969970666, ""weight_update_rel_mean"": 0.004261935464308653}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,dthreeq_ep_nudge_0p01,42,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,nudge_0.01,plus,ep,,,,
dthreeq_ep_nudge_0p01,dthreeq,2025,mnist,3000,1000,3,64,2,0.8621093742549419,0.8621093742549419,0.21327474806457758,0.8626994693532903,0.22189321923763194,64.65435953343169,0.016739988382509414,0.0031923357609317166,0.049556304987582726,0.004347524383002702,43.979318377096206,cuda,"[{""epoch"": 0.0, ""objective"": -120.3078493158868, ""saturation"": 0.008270025805772066, ""state_delta"": 0.018652548409126543, ""test_cost"": 0.2555971397086978, ""test_energy"": 68.4448606967926, ""test_error"": 0.8718749992549419, ""test_saturation"": 0.006408570544554455, ""train_cost"": 0.27791003977998774, ""train_energy"": 69.22157920675075, ""train_error"": 0.8718180098432176, ""weight_abs_mean"": 0.046786367967989455, ""weight_update_rel_mean"": 74.15136299791375}, {""epoch"": 1.0, ""objective"": -119.99274720536901, ""saturation"": 0.005147517981281409, ""state_delta"": 0.01754509356097444, ""test_cost"": 0.22907619550824165, ""test_energy"": 66.0976870059967, ""test_error"": 0.8689453117549419, ""test_saturation"": 0.004011641398514851, ""train_cost"": 0.24344221106235017, ""train_energy"": 67.19319932004238, ""train_error"": 0.8686360196864351, ""weight_abs_mean"": 0.0482707921329288, ""weight_update_rel_mean"": 0.007529161137657913}, {""epoch"": 2.0, ""objective"": -117.2614888941988, ""saturation"": 0.0031923357609317166, ""state_delta"": 0.016739988382509414, ""test_cost"": 0.21327474806457758, ""test_energy"": 63.35619044303894, ""test_error"": 0.8621093742549419, ""test_saturation"": 0.0023998298267326732, ""train_cost"": 0.22189321923763194, ""train_energy"": 64.65435953343169, ""train_error"": 0.8626994693532903, ""weight_abs_mean"": 0.049556304987582726, ""weight_update_rel_mean"": 0.004347524383002702}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,dthreeq_ep_nudge_0p01,2025,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,nudge_0.01,plus,ep,,,,
dthreeq_dplus_layergain_direct,dthreeq_variant_objective,2025,mnist,3000,1000,3,64,0,0.8871093764901161,0.8871093764901161,0.2975091841071844,0.8762822962821798,0.300125538034642,69.93877540750707,0.14837667109537211,0.010172308074272472,0.04596120898583689,0.0038713040503762465,41.48337760800496,cuda,"[{""epoch"": 0.0, ""objective"": 0.028937093358724676, ""saturation"": 0.010189236058864246, ""state_delta"": 0.14842905652055396, ""test_cost"": 0.2976144589483738, ""test_energy"": 70.17405128479004, ""test_error"": 0.8871093764901161, ""test_saturation"": 0.010098236386138614, ""train_cost"": 0.300291914889153, ""train_energy"": 69.94807888599152, ""train_error"": 0.8761873105739025, ""weight_abs_mean"": 0.04595836589139077, ""weight_update_rel_mean"": 0.09505695219159989}, {""epoch"": 1.0, ""objective"": 0.02892670895349472, ""saturation"": 0.010180536955671253, ""state_delta"": 0.14839942601066852, ""test_cost"": 0.2975618224591017, ""test_energy"": 70.17386817932129, ""test_error"": 0.8871093764901161, ""test_saturation"": 0.010093401918316832, ""train_cost"": 0.30018284409604173, ""train_energy"": 69.94248410488697, ""train_error"": 0.8762348027939492, ""weight_abs_mean"": 0.04595979027918109, ""weight_update_rel_mean"": 0.006298104944870593}, {""epoch"": 2.0, ""objective"": 0.028920937963622682, ""saturation"": 0.010172308074272472, ""state_delta"": 0.14837667109537211, ""test_cost"": 0.2975091841071844, ""test_energy"": 70.17368650436401, ""test_error"": 0.8871093764901161, ""test_saturation"": 0.01008856745049505, ""train_cost"": 0.300125538034642, ""train_energy"": 69.93877540750707, ""train_error"": 0.8762822962821798, ""weight_abs_mean"": 0.04596120898583689, ""weight_update_rel_mean"": 0.0038713040503762465}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,dthreeq_dplus_layergain_direct,2025,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,direct_clamp,plus,,layergain_beta_div1,,,
bp_cnn,bp_cnn,2025,mnist,3000,1000,3,64,2,0.10683593759313226,0.10683593759313226,0.36160322092473507,0.12784954414088676,0.4307622643227273,,,,,,33.62789004063234,cuda,"[{""epoch"": 0.0, ""test_cost"": 0.9880960509181023, ""test_error"": 0.20625000074505806, ""train_cost"": 1.8589353916492868, ""train_error"": 0.4978628421717502}, {""epoch"": 1.0, ""test_cost"": 0.46256919763982296, ""test_error"": 0.13750000018626451, ""train_cost"": 0.6505210253786533, ""train_error"": 0.18617021276595744}, {""epoch"": 2.0, ""test_cost"": 0.36160322092473507, ""test_error"": 0.10683593759313226, ""train_cost"": 0.4307622643227273, ""train_error"": 0.12784954414088676}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,bp_cnn,2025,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,,,
epthreeq_tied_w10,threeq_mlp,2025,mnist,3000,1000,3,64,2,0.8880859389901161,0.8880859389901161,0.996795941144228,0.8857807758006644,0.9971509157343114,28.093165620844413,,0.389200463074423,0.08898964162308273,0.0004884268658824146,41.67070751590654,cuda,"[{""epoch"": 0.0, ""rho"": 1.2713583175172196, ""saturation"": 0.41719511759306627, ""state_delta_l1"": 0.04150265542433617, ""state_delta_l2"": 0.013335248019467009, ""state_delta_l3"": 0.03554812533424256, ""test_cost"": 0.9963867366313934, ""test_energy"": 28.991259694099426, ""test_error"": 0.9011718742549419, ""test_saturation"": 0.3921072478341584, ""train_cost"": 0.9965935235327863, ""train_energy"": 33.15756079491148, ""train_error"": 0.90596504667972, ""weak_cost"": 0.4572878137547919, ""weight_abs_mean"": 0.08911638765047628, ""weight_update_rel_mean"": 0.0008071768207744327}, {""epoch"": 1.0, ""rho"": 1.327333353935404, ""saturation"": 0.39051214676938817, ""state_delta_l1"": 0.05261496517886507, ""state_delta_l2"": 0.01350457748358554, ""state_delta_l3"": 0.0348996935372657, ""test_cost"": 0.9968170039355755, ""test_energy"": 28.302470445632935, ""test_error"": 0.8888671882450581, ""test_saturation"": 0.38931195853960393, ""train_cost"": 0.996936246435693, ""train_energy"": 28.80876196191666, ""train_error"": 0.901025836772107, ""weak_cost"": 0.4573189850817335, ""weight_abs_mean"": 0.08903426653210152, ""weight_update_rel_mean"": 0.000496672492800918}, {""epoch"": 2.0, ""rho"": 1.365033060946363, ""saturation"": 0.389200463074423, ""state_delta_l1"": 0.05468864691384295, ""state_delta_l2"": 0.012753162889721547, ""state_delta_l3"": 0.03459655065485771, ""test_cost"": 0.996795941144228, ""test_energy"": 27.60916256904602, ""test_error"": 0.8880859389901161, ""test_saturation"": 0.39027111695544553, ""train_cost"": 0.9971509157343114, ""train_energy"": 28.093165620844413, ""train_error"": 0.8857807758006644, ""weak_cost"": 0.4561556660114451, ""weight_abs_mean"": 0.08898964162308273, ""weight_update_rel_mean"": 0.0004884268658824146}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,epthreeq_tied_w10,2025,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,ep,cost,True
bp_mlp_tanh,bp_mlp,2025,mnist,3000,1000,3,64,2,0.09980468754656613,0.09980468754656613,0.34317484498023987,0.09802431629059162,0.3888135362178721,,,,,,33.56785081187263,cuda,"[{""epoch"": 0.0, ""test_cost"": 0.7537762932479382, ""test_error"": 0.14824218768626451, ""train_cost"": 1.4179943039062175, ""train_error"": 0.3384308510638298}, {""epoch"": 1.0, ""test_cost"": 0.42787345312535763, ""test_error"": 0.10175781254656613, ""train_cost"": 0.5858289631123238, ""train_error"": 0.13758548650335758}, {""epoch"": 2.0, ""test_cost"": 0.34317484498023987, ""test_error"": 0.09980468754656613, ""train_cost"": 0.3888135362178721, ""train_error"": 0.09802431629059162}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,bp_mlp_tanh,2025,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,,,
epthreeq_cost_w10,threeq_mlp,42,mnist,3000,1000,3,64,1,0.9074218757450581,0.9074218757450581,0.9738524444401264,0.9110467332474729,0.9749435947296468,190.55229446735788,,0.46925313731981105,0.09158198275200444,0.002503461412017745,45.284994516987354,cuda,"[{""epoch"": 0.0, ""rho"": 0.6425467666159285, ""saturation"": 0.43119197463059383, ""state_delta_l1"": 0.03215881658995405, ""state_delta_l2"": 0.01157792847841344, ""state_delta_l3"": 0.03683303241082962, ""test_cost"": 0.9918252639472485, ""test_energy"": 35.26743459701538, ""test_error"": 0.9208984375, ""test_saturation"": 0.3663317991955446, ""train_cost"": 0.9954985532354801, ""train_energy"": 40.65483726339137, ""train_error"": 0.9183605630347069, ""weak_cost"": 0.45271056763669276, ""weight_abs_mean"": 0.09096833059551024, ""weight_update_rel_mean"": 0.0005403240586907164}, {""epoch"": 1.0, ""rho"": 0.6113881899955425, ""saturation"": 0.36188175238496495, ""state_delta_l1"": 0.07827850581800684, ""state_delta_l2"": 0.030549481669639018, ""state_delta_l3"": 0.04479433722952579, ""test_cost"": 0.9815808646380901, ""test_energy"": 73.12157154083252, ""test_error"": 0.9074218757450581, ""test_saturation"": 0.4009098468440594, ""train_cost"": 0.9875065760409578, ""train_energy"": 47.60473584114237, ""train_error"": 0.9106193019988689, ""weak_cost"": 0.45467415705640263, ""weight_abs_mean"": 0.09100705068162145, ""weight_update_rel_mean"": 0.0010362770734543998}, {""epoch"": 2.0, ""rho"": 0.6718398776460202, ""saturation"": 0.46925313731981105, ""state_delta_l1"": 0.06702885491416809, ""state_delta_l2"": 0.07259879974608725, ""state_delta_l3"": 0.06143201158401814, ""test_cost"": 0.9738524444401264, ""test_energy"": 557.7760047912598, ""test_error"": 0.9074218757450581, ""test_saturation"": 0.5564327428836634, ""train_cost"": 0.9749435947296468, ""train_energy"": 190.55229446735788, ""train_error"": 0.9110467332474729, ""weak_cost"": 0.5198657721915143, ""weight_abs_mean"": 0.09158198275200444, ""weight_update_rel_mean"": 0.002503461412017745}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,epthreeq_cost_w10,42,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,ep,cost,False
epthreeq_tied_w10,threeq_mlp,42,mnist,3000,1000,3,64,0,0.9248046875,0.9542968757450581,0.998765267431736,0.9462860949496006,0.9983498428730254,27.3088764839984,,0.37048704633001295,0.0916413831531156,0.0005337121922621502,44.45584288984537,cuda,"[{""epoch"": 0.0, ""rho"": 1.2711689725835273, ""saturation"": 0.40196792523097313, ""state_delta_l1"": 0.04390848638053904, ""state_delta_l2"": 0.014568326766899925, ""state_delta_l3"": 0.03781319148045905, ""test_cost"": 0.9954572133719921, ""test_energy"": 28.8269202709198, ""test_error"": 0.9248046875, ""test_saturation"": 0.37187983446782175, ""train_cost"": 0.9951112688855922, ""train_energy"": 33.090532221692676, ""train_error"": 0.9194053956802856, ""weak_cost"": 0.4485270957997505, ""weight_abs_mean"": 0.09178784730058191, ""weight_update_rel_mean"": 0.0008775994768329312}, {""epoch"": 1.0, ""rho"": 1.346837601763137, ""saturation"": 0.3692334350266333, ""state_delta_l1"": 0.05620732618139145, ""state_delta_l2"": 0.014119513154505416, ""state_delta_l3"": 0.03638945813191698, ""test_cost"": 0.9978335313498974, ""test_energy"": 27.8850359916687, ""test_error"": 0.947265625, ""test_saturation"": 0.36860206528465345, ""train_cost"": 0.9967880363159991, ""train_energy"": 28.210570842661756, ""train_error"": 0.9293787999356047, ""weak_cost"": 0.4520925239045569, ""weight_abs_mean"": 0.09169542739260282, ""weight_update_rel_mean"": 0.0005555352443849116}, {""epoch"": 2.0, ""rho"": 1.391115777035977, ""saturation"": 0.37048704633001295, ""state_delta_l1"": 0.05818198113999468, ""state_delta_l2"": 0.012628078738108594, ""state_delta_l3"": 0.03500439297962696, ""test_cost"": 0.998765267431736, ""test_energy"": 26.9882333278656, ""test_error"": 0.9542968757450581, ""test_saturation"": 0.371915609529703, ""train_cost"": 0.9983498428730254, ""train_energy"": 27.3088764839984, ""train_error"": 0.9462860949496006, ""weak_cost"": 0.45550073778375666, ""weight_abs_mean"": 0.0916413831531156, ""weight_update_rel_mean"": 0.0005337121922621502}]",,1,_workspace_ThreeQ_threeq_mnist_comparable_screen_v1,epthreeq_tied_w10,42,mnist,3000,1000,3,64,"[128, 64]",15,10,0.05,0.5,10,0.05,0.0001,tanh,True,1.0,0.001,"[1, 8]",[5],[2],[2],10,10,0.05,,,,,ep,cost,True
