variant,family,best_test_error_mean,best_test_error_std,final_test_error_mean,final_train_error_mean,state_delta_mean,saturation_mean,duration_sec_mean
bp_mlp_tanh,bp_mlp,0.11142578127328306,0.016434708357931985,0.11142578127328306,0.10101633756718736,,,33.681116606108844
bp_cnn,bp_cnn,0.11884765629656613,0.01698713549780675,0.11884765629656613,0.13257503802789017,,,33.44285713485442
dthreeq_ep_nudge_0p01,dthreeq,0.866796875372529,0.006629127654130702,0.866796875372529,0.862390768654803,0.01628046069981147,0.002594448749586205,42.821438043611124
epcnnthreeq_ep,legacy_conv,0.871679687872529,0.07015825252635959,0.871679687872529,0.8773983672578284,,,38.559868840966374
cnnthreeq_direct,legacy_conv,0.8758789077401161,0.0738871343622662,0.880468750372529,0.8732427815173535,,,38.3474242517259
dthreeq_dplus_direct,dthreeq,0.8806640636175871,0.009115048878068445,0.8806640636175871,0.8765197580165052,0.14576910240641722,0.008355135950525144,44.05703024961986
dthreeq_dplus_layergain_direct,dthreeq_variant_objective,0.8806640636175871,0.009115048878068445,0.8806640636175871,0.8765197580165052,0.14576892158122245,0.008355135950525144,42.84834241657518
epthreeq_cost_w10,threeq_mlp,0.904296875,0.004419418436087135,0.904296875,0.9087670978079451,,0.45166989865779883,45.12925741286017
epthreeq_tied_w10,threeq_mlp,0.9064453132450581,0.02596407606802233,0.9211914073675871,0.9160334353751325,,0.379843754702218,43.06327520287596
threeq_direct_cost_w10,threeq_mlp,0.9163085948675871,0.019196843728033555,0.9163085948675871,0.9153685417581112,,0.3859076174049775,44.20146046951413
