epoch,E,delta,rho,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18,u_19
# n,30
# n_clamped,10
# n_tracked,10
# Lg,12.0
# seed,0
# lr,0.1
# num_epochs,100
# log_every,1
1,95.19697570800781,5.988387584686279,1.2052110433578491,-1.3532472848892212,1.30919349193573,0.12931446731090546,0.3562294840812683,0.973548948764801,1.1822391748428345,0.18378978967666626,1.0424799919128418,1.5250122547149658,0.46440449357032776
2,56.18516159057617,4.239143371582031,1.2245389223098755,-1.1676735877990723,0.6598109006881714,-0.09711113572120667,0.6603330969810486,0.6707386374473572,1.1942439079284668,0.44714781641960144,1.0362627506256104,1.4979323148727417,0.0031141270883381367
3,42.119529724121094,3.6494698524475098,1.2989232540130615,-1.0996112823486328,0.237493097782135,-0.3223434090614319,0.7893078327178955,0.3914666771888733,1.1850155591964722,0.6581004858016968,1.0911109447479248,1.3976269960403442,-0.29987651109695435
4,33.11481475830078,3.0060815811157227,1.3145604133605957,-1.1154155731201172,-0.015590135008096695,-0.500536322593689,0.8185681104660034,0.14108441770076752,1.11064875125885,0.856967568397522,1.1518280506134033,1.2879667282104492,-0.4373413324356079
5,27.950895309448242,2.5305233001708984,1.267451524734497,-1.1815061569213867,-0.1364239901304245,-0.629980206489563,0.7832191586494446,-0.059528011828660965,0.991658091545105,1.0143173933029175,1.184079885482788,1.1695477962493896,-0.43635183572769165
6,23.599266052246094,1.9357960224151611,1.267451524734497,-1.260480284690857,-0.196522518992424,-0.705094575881958,0.7399104237556458,-0.1876528412103653,0.8616271615028381,1.1088120937347412,1.1841180324554443,1.0354893207550049,-0.38132938742637634
7,21.052692413330078,1.4639273881912231,1.267451524734497,-1.3431870937347412,-0.22110052406787872,-0.7299140095710754,0.6993056535720825,-0.2585611641407013,0.7235403656959534,1.1562844514846802,1.1548751592636108,0.8993415236473083,-0.30272576212882996
8,19.706552505493164,1.1054948568344116,1.267451524734497,-1.4170321226119995,-0.22064802050590515,-0.7203589677810669,0.6598569750785828,-0.28619733452796936,0.5902312397956848,1.170107126235962,1.102085828781128,0.7618723511695862,-0.21388529241085052
9,18.97409439086914,0.9747105240821838,1.267451524734497,-1.4741729497909546,-0.20269262790679932,-0.687897801399231,0.6192016005516052,-0.2830582559108734,0.4692261815071106,1.1598575115203857,1.0311203002929688,0.6264367699623108,-0.12393710017204285
