case,rho,step,state_norm,fixed_point_residual
stable_rho_0p80,0.8,0,0.001,0.00019999999999999996
stable_rho_0p80,0.8,1,0.0008,0.00015999999999999996
stable_rho_0p80,0.8,2,0.0006400000000000002,0.000128
stable_rho_0p80,0.8,3,0.0005120000000000001,0.0001024
stable_rho_0p80,0.8,4,0.0004096000000000001,8.192e-05
stable_rho_0p80,0.8,5,0.0003276800000000001,6.5536e-05
stable_rho_0p80,0.8,6,0.0002621440000000001,5.2428800000000015e-05
stable_rho_0p80,0.8,7,0.0002097152000000001,4.194304000000001e-05
stable_rho_0p80,0.8,8,0.0001677721600000001,3.355443200000001e-05
stable_rho_0p80,0.8,9,0.00013421772800000008,2.684354560000001e-05
stable_rho_0p80,0.8,10,0.00010737418240000006,2.1474836480000007e-05
stable_rho_0p80,0.8,11,8.589934592000005e-05,1.7179869184000008e-05
stable_rho_0p80,0.8,12,6.871947673600005e-05,1.3743895347200006e-05
stable_rho_0p80,0.8,13,5.497558138880004e-05,1.0995116277760006e-05
stable_rho_0p80,0.8,14,4.398046511104004e-05,8.796093022208006e-06
stable_rho_0p80,0.8,15,3.518437208883203e-05,7.036874417766404e-06
stable_rho_0p80,0.8,16,2.8147497671065623e-05,5.629499534213123e-06
stable_rho_0p80,0.8,17,2.2517998136852502e-05,4.5035996273705e-06
stable_rho_0p80,0.8,18,1.8014398509482003e-05,3.6028797018964e-06
stable_rho_0p80,0.8,19,1.4411518807585603e-05,2.88230376151712e-06
stable_rho_0p80,0.8,20,1.1529215046068483e-05,2.305843009213696e-06
stable_rho_0p80,0.8,21,9.223372036854787e-06,1.844674407370957e-06
stable_rho_0p80,0.8,22,7.37869762948383e-06,1.4757395258967657e-06
stable_rho_0p80,0.8,23,5.902958103587064e-06,1.1805916207174126e-06
stable_rho_0p80,0.8,24,4.722366482869652e-06,9.444732965739302e-07
stable_rho_0p80,0.8,25,3.7778931862957216e-06,7.555786372591441e-07
stable_rho_0p80,0.8,26,3.0223145490365774e-06,6.044629098073154e-07
stable_rho_0p80,0.8,27,2.417851639229262e-06,4.835703278458522e-07
stable_rho_0p80,0.8,28,1.93428131138341e-06,3.868562622766819e-07
stable_rho_0p80,0.8,29,1.547425049106728e-06,3.094850098213455e-07
stable_rho_0p80,0.8,30,1.2379400392853823e-06,2.475880078570764e-07
stable_rho_0p80,0.8,31,9.903520314283058e-07,1.9807040628566114e-07
stable_rho_0p80,0.8,32,7.922816251426449e-07,1.5845632502852893e-07
stable_rho_0p80,0.8,33,6.338253001141158e-07,1.2676506002282313e-07
stable_rho_0p80,0.8,34,5.070602400912927e-07,1.0141204801825852e-07
stable_rho_0p80,0.8,35,4.056481920730342e-07,8.112963841460682e-08
stable_rho_0p80,0.8,36,3.2451855365842734e-07,6.490371073168546e-08
stable_rho_0p80,0.8,37,2.5961484292674195e-07,5.1922968585348376e-08
stable_rho_0p80,0.8,38,2.0769187434139353e-07,4.1538374868278695e-08
stable_rho_0p80,0.8,39,1.6615349947311486e-07,3.3230699894622966e-08
stable_rho_0p80,0.8,40,1.329227995784919e-07,2.6584559915698372e-08
stable_rho_0p80,0.8,41,1.0633823966279352e-07,2.12676479325587e-08
stable_rho_0p80,0.8,42,8.507059173023481e-08,1.701411834604696e-08
stable_rho_0p80,0.8,43,6.805647338418787e-08,1.361129467683757e-08
stable_rho_0p80,0.8,44,5.4445178707350285e-08,1.0889035741470055e-08
stable_rho_0p80,0.8,45,4.3556142965880235e-08,8.711228593176046e-09
stable_rho_0p80,0.8,46,3.484491437270419e-08,6.968982874540836e-09
stable_rho_0p80,0.8,47,2.7875931498163352e-08,5.575186299632669e-09
stable_rho_0p80,0.8,48,2.2300745198530683e-08,4.4601490397061354e-09
stable_rho_0p80,0.8,49,1.7840596158824548e-08,3.568119231764909e-09
stable_rho_0p80,0.8,50,1.4272476927059639e-08,2.8544953854119273e-09
stable_rho_0p95,0.95,0,0.001,5.000000000000004e-05
stable_rho_0p95,0.95,1,0.00095,4.750000000000004e-05
stable_rho_0p95,0.95,2,0.0009025,4.512500000000004e-05
stable_rho_0p95,0.95,3,0.000857375,4.2868750000000036e-05
stable_rho_0p95,0.95,4,0.0008145062499999999,4.072531250000003e-05
stable_rho_0p95,0.95,5,0.0007737809374999998,3.8689046875000025e-05
stable_rho_0p95,0.95,6,0.0007350918906249999,3.6754594531250024e-05
stable_rho_0p95,0.95,7,0.0006983372960937497,3.491686480468752e-05
stable_rho_0p95,0.95,8,0.0006634204312890623,3.317102156445314e-05
stable_rho_0p95,0.95,9,0.0006302494097246091,3.1512470486230486e-05
stable_rho_0p95,0.95,10,0.0005987369392383787,2.993684696191896e-05
stable_rho_0p95,0.95,11,0.0005688000922764596,2.8440004613823008e-05
stable_rho_0p95,0.95,12,0.0005403600876626366,2.7018004383131856e-05
stable_rho_0p95,0.95,13,0.0005133420832795048,2.5667104163975263e-05
stable_rho_0p95,0.95,14,0.00048767497911552955,2.43837489557765e-05
stable_rho_0p95,0.95,15,0.000463291230159753,2.3164561507987673e-05
stable_rho_0p95,0.95,16,0.00044012666865176535,2.2006333432588288e-05
stable_rho_0p95,0.95,17,0.0004181203352191771,2.0906016760958872e-05
stable_rho_0p95,0.95,18,0.0003972143184582182,1.9860715922910927e-05
stable_rho_0p95,0.95,19,0.00037735360253530727,1.886768012676538e-05
stable_rho_0p95,0.95,20,0.0003584859224085419,1.792429612042711e-05
stable_rho_0p95,0.95,21,0.0003405616262881148,1.7028081314405757e-05
stable_rho_0p95,0.95,22,0.000323533544973709,1.6176677248685462e-05
stable_rho_0p95,0.95,23,0.00030735686772502356,1.536784338625119e-05
stable_rho_0p95,0.95,24,0.0002919890243387724,1.4599451216938633e-05
stable_rho_0p95,0.95,25,0.00027738957312183375,1.38694786560917e-05
stable_rho_0p95,0.95,26,0.00026352009446574203,1.3176004723287114e-05
stable_rho_0p95,0.95,27,0.00025034408974245495,1.2517204487122758e-05
stable_rho_0p95,0.95,28,0.00023782688525533216,1.1891344262766618e-05
stable_rho_0p95,0.95,29,0.00022593554099256555,1.1296777049628288e-05
stable_rho_0p95,0.95,30,0.00021463876394293727,1.0731938197146873e-05
stable_rho_0p95,0.95,31,0.00020390682574579038,1.0195341287289528e-05
stable_rho_0p95,0.95,32,0.00019371148445850088,9.685574222925053e-06
stable_rho_0p95,0.95,33,0.00018402591023557584,9.2012955117788e-06
stable_rho_0p95,0.95,34,0.000174824614723797,8.741230736189857e-06
stable_rho_0p95,0.95,35,0.00016608338398760718,8.304169199380366e-06
stable_rho_0p95,0.95,36,0.0001577792147882268,7.888960739411347e-06
stable_rho_0p95,0.95,37,0.00014989025404881545,7.494512702440779e-06
stable_rho_0p95,0.95,38,0.00014239574134637466,7.119787067318739e-06
stable_rho_0p95,0.95,39,0.00013527595427905592,6.763797713952802e-06
stable_rho_0p95,0.95,40,0.00012851215656510312,6.425607828255162e-06
stable_rho_0p95,0.95,41,0.00012208654873684796,6.104327436842403e-06
stable_rho_0p95,0.95,42,0.00011598222130000556,5.799111065000283e-06
stable_rho_0p95,0.95,43,0.00011018311023500529,5.509155511750269e-06
stable_rho_0p95,0.95,44,0.00010467395472325501,5.233697736162755e-06
stable_rho_0p95,0.95,45,9.944025698709225e-05,4.972012849354617e-06
stable_rho_0p95,0.95,46,9.446824413773763e-05,4.723412206886886e-06
stable_rho_0p95,0.95,47,8.974483193085076e-05,4.487241596542542e-06
stable_rho_0p95,0.95,48,8.52575903343082e-05,4.2628795167154135e-06
stable_rho_0p95,0.95,49,8.099471081759279e-05,4.049735540879643e-06
stable_rho_0p95,0.95,50,7.694497527671315e-05,3.847248763835661e-06
unstable_rho_1p05,1.05,0,0.001,5.000000000000004e-05
unstable_rho_1p05,1.05,1,0.0010500000000000002,5.2500000000000056e-05
unstable_rho_1p05,1.05,2,0.0011025,5.5125000000000046e-05
unstable_rho_1p05,1.05,3,0.0011576250000000002,5.788125000000006e-05
unstable_rho_1p05,1.05,4,0.0012155062500000002,6.0775312500000066e-05
unstable_rho_1p05,1.05,5,0.0012762815625000003,6.381407812500008e-05
unstable_rho_1p05,1.05,6,0.0013400956406250004,6.700478203125008e-05
unstable_rho_1p05,1.05,7,0.0014071004226562506,7.03550211328126e-05
unstable_rho_1p05,1.05,8,0.0014774554437890631,7.387277218945322e-05
unstable_rho_1p05,1.05,9,0.0015513282159785164,7.756641079892589e-05
unstable_rho_1p05,1.05,10,0.001628894626777442,8.144473133887218e-05
unstable_rho_1p05,1.05,11,0.0017103393581163143,8.55169679058158e-05
unstable_rho_1p05,1.05,12,0.00179585632602213,8.979281630110658e-05
unstable_rho_1p05,1.05,13,0.0018856491423232366,9.428245711616192e-05
unstable_rho_1p05,1.05,14,0.0019799315994393986,9.899657997197001e-05
unstable_rho_1p05,1.05,15,0.002078928179411369,0.00010394640897056854
unstable_rho_1p05,1.05,16,0.002182874588381937,0.00010914372941909695
unstable_rho_1p05,1.05,17,0.002292018317801034,0.00011460091589005181
unstable_rho_1p05,1.05,18,0.0024066192336910856,0.00012033096168455439
unstable_rho_1p05,1.05,19,0.0025269501953756406,0.00012634750976878213
unstable_rho_1p05,1.05,20,0.0026532977051444222,0.00013266488525722124
unstable_rho_1p05,1.05,21,0.0027859625904016437,0.00013929812952008232
unstable_rho_1p05,1.05,22,0.0029252607199217262,0.00014626303599608645
unstable_rho_1p05,1.05,23,0.0030715237559178123,0.00015357618779589076
unstable_rho_1p05,1.05,24,0.003225099943713703,0.0001612549971856853
unstable_rho_1p05,1.05,25,0.0033863549408993886,0.00016931774704496958
unstable_rho_1p05,1.05,26,0.003555672687944358,0.00017778363439721804
unstable_rho_1p05,1.05,27,0.003733456322341576,0.00018667281611707898
unstable_rho_1p05,1.05,28,0.003920129138458655,0.0001960064569229329
unstable_rho_1p05,1.05,29,0.004116135595381589,0.0002058067797690796
unstable_rho_1p05,1.05,30,0.004321942375150668,0.0002160971187575336
unstable_rho_1p05,1.05,31,0.0045380394939082015,0.00022690197469541027
unstable_rho_1p05,1.05,32,0.004764941468603612,0.0002382470734301808
unstable_rho_1p05,1.05,33,0.0050031885420337915,0.0002501594271016898
unstable_rho_1p05,1.05,34,0.005253347969135482,0.00026266739845677437
unstable_rho_1p05,1.05,35,0.005516015367592257,0.0002758007683796131
unstable_rho_1p05,1.05,36,0.005791816135971869,0.0002895908067985937
unstable_rho_1p05,1.05,37,0.006081406942770463,0.0003040703471385234
unstable_rho_1p05,1.05,38,0.006385477289908986,0.0003192738644954496
unstable_rho_1p05,1.05,39,0.0067047511544044355,0.00033523755772022206
unstable_rho_1p05,1.05,40,0.007039988712124658,0.00035199943560623324
unstable_rho_1p05,1.05,41,0.007391988147730891,0.0003695994073865449
unstable_rho_1p05,1.05,42,0.007761587555117436,0.00038807937775587215
unstable_rho_1p05,1.05,43,0.00814966693287331,0.00040748334664366585
unstable_rho_1p05,1.05,44,0.008557150279516975,0.00042785751397584915
unstable_rho_1p05,1.05,45,0.008985007793492823,0.00044925038967464156
unstable_rho_1p05,1.05,46,0.009434258183167465,0.00047171290915837364
unstable_rho_1p05,1.05,47,0.00990597109232584,0.0004952985546162924
unstable_rho_1p05,1.05,48,0.010401269646942131,0.000520063482347107
unstable_rho_1p05,1.05,49,0.010921333129289237,0.0005460666564644623
unstable_rho_1p05,1.05,50,0.011467399785753701,0.0005733699892876855
unstable_rho_1p20,1.2,0,0.001,0.00019999999999999996
unstable_rho_1p20,1.2,1,0.0012,0.00023999999999999992
unstable_rho_1p20,1.2,2,0.0014399999999999999,0.0002879999999999999
unstable_rho_1p20,1.2,3,0.0017279999999999997,0.0003455999999999999
unstable_rho_1p20,1.2,4,0.0020736,0.00041471999999999993
unstable_rho_1p20,1.2,5,0.0024883199999999996,0.0004976639999999998
unstable_rho_1p20,1.2,6,0.0029859839999999993,0.0005971967999999998
unstable_rho_1p20,1.2,7,0.0035831807999999995,0.0007166361599999998
unstable_rho_1p20,1.2,8,0.0042998169599999985,0.0008599633919999995
unstable_rho_1p20,1.2,9,0.005159780351999999,0.0010319560703999995
unstable_rho_1p20,1.2,10,0.0061917364223999976,0.0012383472844799993
unstable_rho_1p20,1.2,11,0.007430083706879997,0.001486016741375999
unstable_rho_1p20,1.2,12,0.008916100448255996,0.0017832200896511989
unstable_rho_1p20,1.2,13,0.010699320537907194,0.0021398641075814386
unstable_rho_1p20,1.2,14,0.012839184645488633,0.002567836929097726
unstable_rho_1p20,1.2,15,0.01540702157458636,0.0030814043149172713
unstable_rho_1p20,1.2,16,0.01848842588950363,0.003697685177900725
unstable_rho_1p20,1.2,17,0.022186111067404354,0.0044372222134808695
unstable_rho_1p20,1.2,18,0.026623333280885227,0.005324666656177045
unstable_rho_1p20,1.2,19,0.03194799993706227,0.006389599987412453
unstable_rho_1p20,1.2,20,0.038337599924474726,0.007667519984894944
unstable_rho_1p20,1.2,21,0.04600511990936967,0.009201023981873932
unstable_rho_1p20,1.2,22,0.0552061438912436,0.011041228778248717
unstable_rho_1p20,1.2,23,0.06624737266949231,0.013249474533898459
unstable_rho_1p20,1.2,24,0.07949684720339077,0.01589936944067815
unstable_rho_1p20,1.2,25,0.09539621664406893,0.01907924332881378
unstable_rho_1p20,1.2,26,0.1144754599728827,0.022895091994576535
unstable_rho_1p20,1.2,27,0.13737055196745926,0.027474110393491846
unstable_rho_1p20,1.2,28,0.16484466236095108,0.03296893247219021
unstable_rho_1p20,1.2,29,0.1978135948331413,0.039562718966628246
unstable_rho_1p20,1.2,30,0.23737631379976956,0.0474752627599539
unstable_rho_1p20,1.2,31,0.2848515765597235,0.056970315311944686
unstable_rho_1p20,1.2,32,0.3418218918716681,0.06836437837433361
unstable_rho_1p20,1.2,33,0.4101862702460017,0.08203725404920031
unstable_rho_1p20,1.2,34,0.49222352429520205,0.09844470485904039
unstable_rho_1p20,1.2,35,0.5906682291542424,0.11813364583084847
unstable_rho_1p20,1.2,36,0.7088018749850908,0.14176037499701813
unstable_rho_1p20,1.2,37,0.850562249982109,0.17011244999642178
unstable_rho_1p20,1.2,38,1.0206746999785308,0.20413493999570612
unstable_rho_1p20,1.2,39,1.224809639974237,0.24496192799484734
unstable_rho_1p20,1.2,40,1.4697715679690844,0.2939543135938168
unstable_rho_1p20,1.2,41,1.763725881562901,0.3527451763125801
unstable_rho_1p20,1.2,42,2.116471057875481,0.4232942115750961
unstable_rho_1p20,1.2,43,2.5397652694505775,0.5079530538901154
unstable_rho_1p20,1.2,44,3.0477183233406926,0.6095436646681384
unstable_rho_1p20,1.2,45,3.657261988008831,0.7314523976017661
unstable_rho_1p20,1.2,46,4.388714385610597,0.8777428771221192
unstable_rho_1p20,1.2,47,5.266457262732716,1.053291452546543
unstable_rho_1p20,1.2,48,6.3197487152792595,1.2639497430558517
unstable_rho_1p20,1.2,49,7.583698458335111,1.516739691667022
unstable_rho_1p20,1.2,50,9.100438150002134,1.8200876300004263
