case,eta,epoch,rho,post_update_final_norm,stable
small_step_eta_0p010,0.01,0,0.7,6.366805760909012e-10,True
small_step_eta_0p010,0.01,1,0.71,1.122881557076903e-09,True
small_step_eta_0p010,0.01,2,0.72,1.9647163408174526e-09,True
small_step_eta_0p010,0.01,3,0.73,3.411256724726055e-09,True
small_step_eta_0p010,0.01,4,0.74,5.878530681627837e-09,True
small_step_eta_0p010,0.01,5,0.75,1.0056585161637498e-08,True
small_step_eta_0p010,0.01,6,0.76,1.7082195630502973e-08,True
small_step_eta_0p010,0.01,7,0.77,2.8815688908591693e-08,True
small_step_eta_0p010,0.01,8,0.7799999999999999,4.8281872807623046e-08,True
small_step_eta_0p010,0.01,9,0.7899999999999999,8.03680908250361e-08,True
small_step_eta_0p010,0.01,10,0.7999999999999999,1.3292279957849115e-07,True
small_step_eta_0p010,0.01,11,0.8099999999999999,2.1847450052839153e-07,True
small_step_eta_0p010,0.01,12,0.82,3.569062024457648e-07,True
small_step_eta_0p010,0.01,13,0.83,5.795937518633789e-07,True
small_step_eta_0p010,0.01,14,0.84,9.357750086165861e-07,True
small_step_eta_0p010,0.01,15,0.85,1.5023012498914331e-06,True
small_step_eta_0p010,0.01,16,0.86,2.398490760129482e-06,True
small_step_eta_0p010,0.01,17,0.87,3.8086415828998125e-06,True
small_step_eta_0p010,0.01,18,0.8799999999999999,6.015986956960353e-06,True
small_step_eta_0p010,0.01,19,0.8899999999999999,9.453666245402004e-06,True
small_step_eta_0p010,0.01,20,0.8999999999999999,1.4780882941434534e-05,True
small_step_eta_0p010,0.01,21,0.9099999999999999,2.2996179653995305e-05,True
small_step_eta_0p010,0.01,22,0.9199999999999999,3.560517247053938e-05,True
small_step_eta_0p010,0.01,23,0.9299999999999999,5.486784993471945e-05,True
small_step_eta_0p010,0.01,24,0.94,8.416163114342567e-05,True
large_step_eta_0p035,0.035,0,0.7,6.366805760909012e-10,True
large_step_eta_0p035,0.035,1,0.735,4.4822240689089694e-09,True
large_step_eta_0p035,0.035,2,0.77,2.8815688908591693e-08,True
large_step_eta_0p035,0.035,3,0.8049999999999999,1.7054351693046258e-07,True
large_step_eta_0p035,0.035,4,0.84,9.357750086165861e-07,True
large_step_eta_0p035,0.035,5,0.875,4.789852291028069e-06,True
large_step_eta_0p035,0.035,6,0.9099999999999999,2.2996179653995305e-05,True
large_step_eta_0p035,0.035,7,0.945,0.00010405724906293505,True
large_step_eta_0p035,0.035,8,0.98,0.00044570040395095075,True
large_step_eta_0p035,0.035,9,1.0150000000000001,0.0018140184086689604,False
large_step_eta_0p035,0.035,10,1.05,0.007039988712124658,False
large_step_eta_0p035,0.035,11,1.085,0.02613301558029146,False
large_step_eta_0p035,0.035,12,1.12,0.09305097044136404,False
large_step_eta_0p035,0.035,13,1.155,0.31862464831912357,False
large_step_eta_0p035,0.035,14,1.19,1.0516675065598833,False
large_step_eta_0p035,0.035,15,1.225,3.353077164822759,False
large_step_eta_0p035,0.035,16,1.26,10.347175247904113,False
large_step_eta_0p035,0.035,17,1.295,30.959271778477955,False
large_step_eta_0p035,0.035,18,1.33,89.9633540657861,False
large_step_eta_0p035,0.035,19,1.365,254.27640054626622,False
large_step_eta_0p035,0.035,20,1.4,700.0376965910682,False
large_step_eta_0p035,0.035,21,1.435,1879.645904626496,False
large_step_eta_0p035,0.035,22,1.47,4928.257482062867,False
large_step_eta_0p035,0.035,23,1.505,12631.647485159425,False
large_step_eta_0p035,0.035,24,1.54,31683.18501737248,False
