objective_name,target_name,dplus_vs_bp_forward_cosine,dplus_vs_bp_forward_sign_agreement,dplus_vs_bp_forward_norm_ratio,dplus_vs_ep_forward_cosine,dplus_bp_scaled_free_mse_decrease,dplus_ep_scaled_free_mse_decrease
resnorm_layergain_beta_div1,direct_plus,0.07623631258805587,0.5684910549057854,7619.366782496406,0.9974635011619991,0.0004273735814623667,0.0007830527093674666
layergain_beta_div1,direct_plus,0.07613104478352596,0.5684910549057854,0.1705307509080123,0.9972550902101728,0.00042754577265840003,0.0007834119929207
resnorm_beta_div1,direct_plus,0.07602095148629606,0.5684910549057854,7619.196293696762,0.9971543219354418,0.0004265093141131,0.0007814897431267332
resnorm_beta_div2,direct_plus,0.07602095148629606,0.5684910549057854,7619.196293696762,0.9971543219354418,0.0004265093141131,0.0007814897431267332
raw,direct_plus,0.07597568382819493,0.5684910549057854,0.17052932982468116,0.9970690409342448,0.0004267228974235667,0.0007819020085864333
beta_div1,direct_plus,0.07597568382819493,0.5684910549057854,0.17052932982468116,0.9970690409342448,0.0004267228974235667,0.0007819020085864333
beta_div2,direct_plus,0.07597568382819493,0.5684910549057854,0.17052932982468116,0.9970690409342448,0.0004267228974235667,0.0007819020085864333
resnorm_layergain_beta_div1,nudge_0p1_plus,0.07518635545339843,0.5468453003300561,62278.375274459715,0.9972001413504282,0.00042688681019673334,0.006357593668831666
layergain_beta_div1,nudge_0p1_plus,0.0751054810567034,0.5468453003300561,1.3931420873402265,0.9969079328907862,0.00042718648910516666,0.006362429923481367
resnorm_beta_div1,nudge_0p1_plus,0.07503098435699934,0.5468453003300561,62276.54455255686,0.9968154496616788,0.00042637023660866666,0.006350232495201933
resnorm_beta_div2,nudge_0p1_plus,0.0750309833221965,0.5468453003300561,622765.479857247,0.9968154529730479,0.00042637023660866666,0.006350232495201933
raw,nudge_0p1_plus,0.07499903316299117,0.5468453003300561,0.13931294616159354,0.996698389450709,0.00042665004730219996,0.006354633304807833
